method,param,n,mean_dev_post_switch_loss
ema,1/50,40,0.4039021507334219
ema,1/20,40,0.39852744662430395
ema,1/10,40,0.3881647795539246
ema,1/5,40,0.374283008066817
ema,2/5,40,0.3602903843266871
window,3,40,0.3599166918846811
window,5,40,0.36071820624637485
window,10,40,0.3722901832868118
