family,comparator,n,full_mean_loss,comparator_mean_loss,mean_delta_full_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,holm_direction,attack,scenario
A1-persistent-ratio,Tuned-EMA-TL,20,0.17598711116756138,0.17991801743452074,-0.003930906266959354,-0.00559803677568513,-0.0021967762159171766,0.0004520416259765625,-0.8380952380952381,dog,1/10,0.002712249755859375,True,full_win,full_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.41065705849890827,0.3740402160461466,0.03661684245276166,0.03199711782726786,0.04127272273958153,1.9073486328125e-06,1.0,dog,1/2,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.2445972756710702,0.2334972166263439,0.011100059044726288,0.007023627837207068,0.015149461825758034,8.96453857421875e-05,0.8952380952380953,dog,3/10,0.0006275177001953125,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.6720027106281552,0.6288193494725862,0.04318336115556895,0.035812580308516626,0.05070615493750568,1.9073486328125e-06,1.0,dog,7/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.8672956168832799,0.844662541064477,0.022633075818802906,0.01888332393731464,0.02660319547571039,1.9073486328125e-06,1.0,dog,9/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.26298076923076924,0.26634615384615384,-0.003365384615384612,-0.007211538461538438,1.3448443747510135e-17,0.08984375,-0.6666666666666666,duck,1/10,0.26953125,False,full_win,not_significant,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.36153846153846153,0.30865384615384617,0.05288461538461539,0.029807692307692323,0.07741586538461523,4.57763671875e-05,0.9142857142857143,duck,1/2,0.0003662109375,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.2668269230769231,0.2605769230769231,0.006249999999999997,-0.00048076923076923356,0.012980769230769209,0.1002197265625,0.49264705882352944,duck,3/10,0.26953125,False,comparator_win,not_significant,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.5158653846153846,0.3956730769230769,0.12019230769230768,0.09615384615384613,0.1456730769230769,1.9073486328125e-06,1.0,duck,7/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.7668269230769231,0.6879807692307692,0.07884615384615384,0.05528846153846151,0.10240384615384615,9.5367431640625e-06,0.9619047619047619,duck,9/10,8.58306884765625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.2544245878195836,0.25839540729538657,-0.00397081947580291,-0.005284600705870395,-0.002774942560770387,3.814697265625e-06,-0.9904761904761905,product,1/10,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.44886183480215835,0.44183019684912894,0.007031637953029439,0.0054266667502210954,0.008625646630481536,1.9073486328125e-06,1.0,product,1/2,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.3527798091678218,0.35245118287752375,0.00032862629029805,-0.0015406746094908086,0.0022309776088718573,0.7405757904052734,0.05714285714285714,product,3/10,0.7405757904052734,False,comparator_win,not_significant,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.5328119215139975,0.5234707670298427,0.009341154484154731,0.0077715447399232425,0.010933496532172187,1.9073486328125e-06,1.0,product,7/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.6962678290411464,0.6839577650569708,0.012310063984175425,0.010992670097908684,0.013653882113788726,1.9073486328125e-06,1.0,product,9/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Tuned-EMA-TL,9,0.026135729507002044,0.027717313227529676,-0.0015815837205276303,-0.0017149696976876596,-0.0014480583063168227,0.00390625,-1.0,weather,1/10,0.01953125,True,full_win,full_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.11063552227766446,0.12243106110495224,-0.011795538827287783,-0.0121918002549425,-0.011371652066426706,1.9073486328125e-06,-1.0,weather,1/2,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.053985505764184226,0.06079005747418289,-0.006804551709998665,-0.007123098864944062,-0.006451418138223301,1.9073486328125e-06,-1.0,weather,3/10,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Tuned-EMA-TL,20,0.1507228709827862,0.16291006472631073,-0.012187193743524541,-0.01266790881948077,-0.011706723262259263,1.9073486328125e-06,-1.0,weather,7/10,3.814697265625e-05,True,full_win,full_win,,
A1-persistent-ratio,Tuned-EMA-TL,9,0.2464817411156145,0.2505766520538758,-0.004094910938261338,-0.004915584567146161,-0.0032787895806816215,0.00390625,-1.0,weather,9/10,0.01953125,True,full_win,full_win,,
A2-attack-rho07,Tuned-EMA-TL,20,0.6077221671839448,0.5424349351898028,0.06528723199414208,0.0602363607413028,0.07020165985081028,1.9073486328125e-06,1.0,dog,,2.288818359375e-05,True,comparator_win,comparator_win,collusive,
A2-attack-rho07,Tuned-EMA-TL,20,0.4034920792229338,0.3929515940882917,0.010540485134642102,0.007488261320115615,0.013666270775424314,1.1444091796875e-05,0.9619047619047619,dog,,6.866455078125e-05,True,comparator_win,comparator_win,on_off,
A2-attack-rho07,Tuned-EMA-TL,20,0.32001345843027845,0.3092328903985852,0.010780568031693246,0.007206842865623233,0.014101814966945476,6.866455078125e-05,0.8952380952380953,dog,,0.00034332275390625,True,comparator_win,comparator_win,random,
A2-attack-rho07,Tuned-EMA-TL,20,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,1.0,0.0,duck,,1.0,False,tie,not_significant,collusive,
A2-attack-rho07,Tuned-EMA-TL,20,0.3591346153846154,0.35625,0.0028846153846153813,0.0004807692307692315,0.005288461538461531,0.0546875,0.7222222222222222,duck,,0.1640625,False,comparator_win,not_significant,on_off,
A2-attack-rho07,Tuned-EMA-TL,20,0.3,0.2932692307692307,0.006730769230769234,2.5999168096202416e-18,0.012980769230769226,0.0638427734375,0.5238095238095238,duck,,0.1640625,False,comparator_win,not_significant,random,
A2-attack-rho07,Tuned-EMA-TL,20,0.3970428955325053,0.39930997692176584,-0.0022670813892605,-0.0031834089785073047,-0.001373062834413547,0.0001163482666015625,-0.8952380952380953,product,,0.00046539306640625,True,full_win,full_win,collusive,
A2-attack-rho07,Tuned-EMA-TL,20,0.2868380899652218,0.29029600911966924,-0.003457919154447434,-0.004061306592361732,-0.002852770774044022,1.9073486328125e-06,-1.0,product,,2.288818359375e-05,True,full_win,full_win,on_off,
A2-attack-rho07,Tuned-EMA-TL,20,0.3979146518854342,0.40621176760062633,-0.008297115715192123,-0.010124926633664834,-0.006459400951378937,3.814697265625e-06,-0.9904761904761905,product,,2.6702880859375e-05,True,full_win,full_win,random,
A2-attack-rho07,Tuned-EMA-TL,20,0.21025692780083283,0.24330006993466968,-0.033043142133836884,-0.034415377611546505,-0.03155633067612827,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,full_win,full_win,collusive,
A2-attack-rho07,Tuned-EMA-TL,20,0.17251276863167808,0.18468923282283867,-0.012176464191160601,-0.013602039222240512,-0.010733625580988742,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,full_win,full_win,on_off,
A2-attack-rho07,Tuned-EMA-TL,20,0.08436350634259707,0.09172210157707732,-0.007358595234480247,-0.0077664590354300424,-0.006950876675199353,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,full_win,full_win,random,
A3-behavior-switch,Tuned-EMA-TL,15,0.6879301827613504,0.646155916814527,0.04177426594682343,0.034819048920919714,0.0492186806028804,6.103515625e-05,1.0,dog,,0.00048828125,True,comparator_win,comparator_win,,benign_to_malicious
A3-behavior-switch,Tuned-EMA-TL,15,0.17037554761294746,0.16849116627672173,0.001884381336225736,-0.0008063514485394936,0.004837815482610315,0.2330322265625,0.25,dog,,0.65625,False,comparator_win,not_significant,,malicious_to_benign
A3-behavior-switch,Tuned-EMA-TL,15,0.6185185185185186,0.6271604938271605,-0.008641975308641987,-0.014814814814814833,-0.0037037037037037,0.03125,-1.0,duck,,0.15625,False,full_win,not_significant,,benign_to_malicious
A3-behavior-switch,Tuned-EMA-TL,15,0.3444444444444444,0.337037037037037,0.007407407407407405,-0.0012345679012345733,0.01728395061728395,0.21875,0.4722222222222222,duck,,0.65625,False,comparator_win,not_significant,,malicious_to_benign
A3-behavior-switch,Tuned-EMA-TL,15,0.5551976983902827,0.5402335216902728,0.014964176700009825,0.012056492069465156,0.018015333482332238,6.103515625e-05,1.0,product,,0.00048828125,True,comparator_win,comparator_win,,benign_to_malicious
