family,contrast,n,candidate_mean_loss,comparator_mean_loss,mean_delta_candidate_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,attack,scenario
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,20,0.13354564898100627,0.15914664465032374,-0.025600995669317467,-0.027642890827271567,-0.023467338292302443,1.9073486328125e-06,-1.0,weather,7/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Window-COWA,9,0.23542427158400286,0.23798783198699644,-0.002563560402993571,-0.005081124550301173,0.00034539252488532555,0.12890625,-0.6,weather,9/10,0.591796875,False,candidate_win,,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.47356001162656536,0.4805776517788276,-0.007017640152262287,-0.012007257465763019,-0.0024859695570430746,0.008829116821289062,-0.638095238095238,dog,,0.052974700927734375,False,candidate_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.38304291490843617,0.389040458750774,-0.005997543842337745,-0.010741375097304792,-0.0013402451076047028,0.027307510375976562,-0.49523809523809526,dog,,0.1365375518798828,False,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.31502522963615764,0.30864575512375414,0.006379474512403518,0.0004488288157133373,0.011694122856306987,0.04672431945800781,0.5142857142857142,dog,,0.18689727783203125,False,comparator_win,random,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,1.0,0.0,duck,,1.0,False,tie,collusive,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.3591346153846154,0.3557692307692308,0.0033653846153846186,-0.000961538461538464,0.008173076923076936,0.203125,0.5555555555555556,duck,,0.609375,False,comparator_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.2793269230769231,0.28365384615384615,-0.004326923076923085,-0.015384615384615375,0.005769230769230768,0.4254302978515625,-0.1437908496732026,duck,,0.850860595703125,False,candidate_win,random,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.39508974884969,0.399031578038394,-0.003941829188703993,-0.005460021281671058,-0.002419481435630308,0.0001392364501953125,-0.8571428571428571,product,,0.0011138916015625,True,candidate_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.2865364344472454,0.2887199524304367,-0.0021835179831912353,-0.003300078107603364,-0.0010293498264430485,0.0021686553955078125,-0.7238095238095238,product,,0.015180587768554688,True,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.3895430710468438,0.3993100863846101,-0.009767015337766295,-0.0113679348669428,-0.008279698291963584,1.9073486328125e-06,-1.0,product,,2.288818359375e-05,True,candidate_win,random,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.18520725653511133,0.2552145932994013,-0.07000733676429001,-0.07263532837405182,-0.06707673130962191,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,candidate_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.15969413906254037,0.16957152379296014,-0.009877384730419752,-0.012229695962056685,-0.007624924975538382,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Window-COWA,20,0.0836111884117807,0.105096172549521,-0.021484984137740307,-0.02306108635379003,-0.019792156686117092,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,candidate_win,random,
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.5848824961456918,0.6343631791570193,-0.04948068301132761,-0.058786338087727534,-0.04108130361968094,6.103515625e-05,-1.0,dog,,0.00048828125,True,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.18422853351788115,0.17951233570235525,0.004716197815525914,0.001543508641046885,0.007811307839514224,0.01458740234375,0.6833333333333333,dog,,0.04376220703125,True,comparator_win,,malicious_to_benign
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.619753086419753,0.628395061728395,-0.008641975308641999,-0.022222222222222247,0.0037037037037036887,0.1845703125,-0.48484848484848486,duck,,0.1845703125,False,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.31975308641975314,0.3395061728395062,-0.01975308641975307,-0.03706790123456786,-0.00493827160493826,0.045654296875,-0.5384615384615384,duck,,0.09130859375,False,candidate_win,,malicious_to_benign
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.5124462867604881,0.5354422431681242,-0.02299595640763623,-0.025869305560010894,-0.020006269231914203,6.103515625e-05,-1.0,product,,0.00048828125,True,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.22940872271788149,0.23608532978759242,-0.006676607069710941,-0.007500233247767794,-0.005758894959460478,6.103515625e-05,-1.0,product,,0.00048828125,True,candidate_win,,malicious_to_benign
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.13400769087519276,0.1600654485363031,-0.026057757661110348,-0.028709074200207792,-0.0233780921458384,6.103515625e-05,-1.0,weather,,0.00048828125,True,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Window-COWA,15,0.024132658176508677,0.025307428322411465,-0.0011747701459027908,-0.001206370960318741,-0.001141124968314809,6.103515625e-05,-1.0,weather,,0.00048828125,True,candidate_win,,malicious_to_benign
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.18272626375796733,0.18097489934763394,0.001751364410333377,-0.0010125988995459902,0.004282307422130128,0.2265644073486328,0.37142857142857144,dog,1/10,1.0,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.34863600751374474,0.3539863815632315,-0.005350374049486804,-0.009785424368437042,-0.0010361013847131632,0.030622482299804688,-0.4666666666666667,dog,1/2,0.2756023406982422,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.23149909228397902,0.22796341445769092,0.003535677826288103,4.157551990436019e-05,0.006810776731902831,0.06214714050292969,0.4666666666666667,dog,3/10,0.3728828430175781,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.5676610786292716,0.5985046663715583,-0.030843587742286637,-0.03712377672900159,-0.024405799890742902,3.814697265625e-06,-0.9904761904761905,dog,7/10,5.340576171875e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.7992004685674616,0.8334797512385983,-0.034279282671136675,-0.04111695274714922,-0.02800382463248967,1.9073486328125e-06,-1.0,dog,9/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.26105769230769227,0.2620192307692307,-0.0009615384615384595,-0.005288461538461532,0.003365384615384634,0.720703125,-0.22727272727272727,duck,1/10,1.0,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.29471153846153847,0.28221153846153846,0.01249999999999998,0.008173076923076908,0.017307692307692274,6.103515625e-05,1.0,duck,1/2,0.00079345703125,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.2605769230769231,0.25961538461538464,0.0009615384615384605,-0.0028846153846153926,0.005288461538461525,0.69921875,0.07575757575757576,duck,3/10,1.0,False,comparator_win,,
