capability,baseline,clusters,accuracy_delta,accuracy_ci_low,accuracy_ci_high,macrof1_delta,macrof1_ci_low,macrof1_ci_high
50,DS,98,-0.013084461326504426,-0.01965418279765239,-0.00605941062667029,-0.01312015438626657,-0.019706665560678547,-0.006099272862833219
50,LA-onepass,98,0.0067251484747767876,0.003167027887807064,0.010178740280460225,0.0067354696498642674,0.003175766901268032,0.010202145888562674
52,DS,100,0.13100411710887472,0.09579769476706589,0.1681625582316687,0.1319774366411548,0.09880182907258762,0.1683755922358148
52,LA-onepass,100,0.015153247941445569,0.005080997423815553,0.02529662590270693,0.015502412855414427,0.004917696474249958,0.026318583945966995
53,DS,100,0.007025815517181289,0.0019397847591660355,0.013689767300032131,0.007282507896754886,0.0019736959265954533,0.014364505217709714
53,LA-onepass,100,6.96775092612345e-05,-0.003238329307734314,0.004428888459625479,4.341487388703769e-06,-0.003407622063869678,0.004622348226658489
56,DS,98,-0.011552470003274196,-0.012968945620661875,-0.010012689775534026,-0.011553644577996014,-0.012970722015041588,-0.01001510501205154
56,LA-onepass,98,-0.002785979410119932,-0.003597606547866275,-0.001844700487172475,-0.0027857309826850862,-0.0035974036137596615,-0.001844197583323849
69,DS,25,0.031628104436425386,0.012528999980530786,0.05119481231581651,0.024181097862757572,-0.008259325130754192,0.06052855835033616
69,LA-onepass,25,-0.014009764381235357,-0.01878429717180241,-0.008749419827146008,-0.018801146796881496,-0.02858641343219251,-0.009061866569091507
126,DS,15,0.08434267527185924,0.057538405789591775,0.10670406402096796,0.09332342247554415,0.06396238559481215,0.13138669217257204
126,LA-onepass,15,0.0022986473344531744,-0.0023295213892418065,0.007961612404635108,0.0024511611726021343,-0.0037557082754206355,0.009455960858338856
