method,equal_capability_macro_Accuracy,equal_capability_macro_MacroF1
LIR-PPTD,0.9115197146748297,0.8930073668094489
DS,0.873292417840736,0.8543255891574574
LA-onepass,0.9102778850967327,0.8924896155784984
MV,0.8946487689911371,0.8717799827817805
