family,comparator,hypothesis_id,dataset,rho,n,mean_delta,ci_low,ci_high,bootstrap_seed,p_raw,rank_biserial,wins,ties,losses,p_holm,holm_significant,direction,attack,scenario
A1-persistent-ratio,CAL-EMA-TL,A1-persistent-ratio|CAL-EMA-TL|dataset=weather|rho=9/10,weather,9/10,9,-0.010875116530573702,-0.012217796705880437,-0.009459804660423645,17300160421921225586,0.00390625,-1.0,9,0,0,0.01934051513671875,True,LIR-PPTD,,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=dog|attack=collusive,dog,,20,0.15165294541283916,0.14211881840426913,0.1611997799387908,10563514992747665744,1.9073486328125e-06,1.0,0,0,20,2.288818359375e-05,True,COWA,collusive,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=dog|attack=on_off,dog,,20,0.016784740099531542,0.010763147023827156,0.022929376454125044,1967721620783364896,5.14984130859375e-05,0.8952380952380953,2,0,18,0.000308990478515625,True,COWA,on_off,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=dog|attack=random,dog,,20,0.01339360078154595,0.009396555826306606,0.01751672493956473,5146374657745866986,7.62939453125e-06,0.9714285714285714,1,0,19,6.103515625e-05,True,COWA,random,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=duck|attack=collusive,duck,,20,0.0,0.0,0.0,6781080822793378788,1.0,0.0,0,20,0,1.0,False,tie,collusive,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=duck|attack=on_off,duck,,20,0.0004807692307692124,-0.002403846153846173,0.003365384615384592,10939110328564183741,1.0,-0.2222222222222222,4,11,5,1.0,False,COWA,on_off,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=duck|attack=random,duck,,20,0.015865384615384615,0.005288461538461525,0.02596153846153846,17249819061643467933,0.010406494140625,0.6691176470588235,3,4,13,0.0416259765625,True,COWA,random,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=product|attack=collusive,product,,20,0.003828591306247553,0.002259115231342897,0.005568826691507408,366792888778348568,1.9073486328125e-05,0.9523809523809523,1,0,19,0.000133514404296875,True,COWA,collusive,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=product|attack=on_off,product,,20,0.004166571513842842,0.0030706725720676523,0.005337981530714467,3264853022449173629,3.814697265625e-06,0.9904761904761905,1,0,19,3.4332275390625e-05,True,COWA,on_off,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=product|attack=random,product,,20,-0.004363560364612812,-0.006247963208612286,-0.0024814245280077598,15293608562491454199,0.0004425048828125,-0.819047619047619,18,0,2,0.0022125244140625,True,LIR-PPTD,random,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=weather|attack=collusive,weather,,20,-0.07308616288767542,-0.07592428359734817,-0.07006211572709682,7381594448441772431,1.9073486328125e-06,-1.0,20,0,0,2.288818359375e-05,True,LIR-PPTD,collusive,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=weather|attack=on_off,weather,,20,-0.0018417831965163306,-0.0037089294120734575,-2.326644203362715e-05,3060291769463174188,0.07110595703125,-0.4095238095238095,12,0,8,0.21331787109375,False,LIR-PPTD,on_off,
A2-attack-rho07,COWA,A2-attack-rho07|COWA|dataset=weather|attack=random,weather,,20,-0.02101319659680859,-0.02257796517925144,-0.019392219903532727,17860512762710916426,1.9073486328125e-06,-1.0,20,0,0,2.288818359375e-05,True,LIR-PPTD,random,
A2-attack-rho07,CAL-EMA-TL,A2-attack-rho07|CAL-EMA-TL|dataset=dog|attack=collusive,dog,,20,-0.048061358806956375,-0.05263417123926166,-0.04365379343194184,11631383111605545414,1.9073486328125e-06,-1.0,20,0,0,2.288818359375e-05,True,LIR-PPTD,collusive,
