family,dataset,scenario,replicate,fast_cowa_loss,exact_cowa_loss,abs_diff,match
A3,product,benign_to_malicious,6,0.6874476538891904,0.6874476538891904,0.0,True
A3,product,benign_to_malicious,7,0.6393434711361901,0.6393434711361901,0.0,True
A3,product,benign_to_malicious,8,0.6703711866050595,0.6703711866050595,0.0,True
A3,product,benign_to_malicious,9,0.6625238120792372,0.6625238120792372,0.0,True
A3,product,benign_to_malicious,10,0.6628830939745798,0.6628830939745798,0.0,True
A3,product,benign_to_malicious,11,0.7606872127553741,0.7606872127553741,0.0,True
A3,product,benign_to_malicious,12,0.7597958121240167,0.7597958121240167,0.0,True
A3,product,benign_to_malicious,13,0.6013491912628741,0.6013491912628741,0.0,True
A3,product,benign_to_malicious,14,0.6996974554248105,0.6996974554248105,0.0,True
A3,product,benign_to_malicious,15,0.5737599997463402,0.5737599997463402,0.0,True
A3,product,benign_to_malicious,16,0.7144899016193557,0.7144899016193557,0.0,True
A3,product,benign_to_malicious,17,0.5623177894546878,0.5623177894546878,0.0,True
A3,product,benign_to_malicious,18,0.7099018610882444,0.7099018610882444,0.0,True
A3,product,benign_to_malicious,19,0.5704918222993323,0.5704918222993323,0.0,True
A3,product,benign_to_malicious,20,0.6946704755872426,0.6946704755872426,0.0,True
A3,product,malicious_to_benign,6,0.2680354150380597,0.2680354150380597,0.0,True
A3,product,malicious_to_benign,7,0.26854092331707147,0.26854092331707147,0.0,True
A3,product,malicious_to_benign,8,0.2469054781722252,0.2469054781722252,0.0,True
A3,product,malicious_to_benign,9,0.2611132213069032,0.2611132213069032,0.0,True
A3,product,malicious_to_benign,10,0.2716646327509711,0.2716646327509711,0.0,True
A3,product,malicious_to_benign,11,0.2696716710631699,0.2696716710631699,0.0,True
A3,product,malicious_to_benign,12,0.2555990755111883,0.2555990755111883,0.0,True
A3,product,malicious_to_benign,13,0.24329200676750196,0.24329200676750196,0.0,True
A3,product,malicious_to_benign,14,0.26042843421928974,0.26042843421928974,0.0,True
A3,product,malicious_to_benign,15,0.26317978368283024,0.26317978368283024,0.0,True
A3,product,malicious_to_benign,16,0.2694831995023229,0.2694831995023229,0.0,True
A3,product,malicious_to_benign,17,0.26272304914225675,0.26272304914225675,0.0,True
A3,product,malicious_to_benign,18,0.25998958440050535,0.25998958440050535,0.0,True
