capability,ordinary_tasks_checked,calibration_tasks_checked,max_abs_output_error,max_abs_reputation_error,tolerance,status,elapsed_seconds
50,75,5,0.0,1.1102230246251565e-16,1e-10,PASS,0.9453988075256348
52,75,5,1.1102230246251565e-16,1.1102230246251565e-16,1e-10,PASS,0.3549978733062744
53,73,7,1.1102230246251565e-16,2.220446049250313e-16,1e-10,PASS,0.7600359916687012
56,75,5,0.0,1.1102230246251565e-16,1e-10,PASS,5.034550428390503
69,79,1,2.220446049250313e-16,5.551115123125783e-17,1e-10,PASS,0.3691713809967041
126,78,2,2.220446049250313e-16,5.551115123125783e-17,1e-10,PASS,0.4669492244720459
