pairing_id,method,input_identity_match,paper_metric_old,paper_metric_geometry,paper_metric_abs_diff,tau_dependency,final_disposition,evidence_path
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,lir_pptd,True,0.34200549277721426,0.3684302422071828,0.02642474942996853,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,no_cw,True,0.34200549277721426,0.3684302422071828,0.02642474942996853,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,no_hr,True,0.2473264848601624,0.2473264848601624,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=15|subset=f04fd2c4700e0f4063c6a61887db686f7b5649cb0b34340f72c90887719c8593,cowa,True,0.23224463997732014,0.2522556966512348,0.020011056673914673,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=15|subset=f04fd2c4700e0f4063c6a61887db686f7b5649cb0b34340f72c90887719c8593,lir_pptd,True,0.23942184554534074,0.2719495194830266,0.03252767393768585,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=15|subset=f04fd2c4700e0f4063c6a61887db686f7b5649cb0b34340f72c90887719c8593,no_cw,True,0.23942184554534074,0.2719495194830266,0.03252767393768585,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=15|subset=f04fd2c4700e0f4063c6a61887db686f7b5649cb0b34340f72c90887719c8593,no_hr,True,0.20435465823365329,0.20435465823365329,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=16|subset=3a5917f79799682faf81c3aa74cf08a173bbd117aba8f93ff5c29be54bfcdcf2,cowa,True,0.341244619489125,0.3786971990028133,0.0374525795136883,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=16|subset=3a5917f79799682faf81c3aa74cf08a173bbd117aba8f93ff5c29be54bfcdcf2,lir_pptd,True,0.36233449706870435,0.3862585580029563,0.023924060934251923,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=16|subset=3a5917f79799682faf81c3aa74cf08a173bbd117aba8f93ff5c29be54bfcdcf2,no_cw,True,0.36233449706870435,0.3862585580029563,0.023924060934251923,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=16|subset=3a5917f79799682faf81c3aa74cf08a173bbd117aba8f93ff5c29be54bfcdcf2,no_hr,True,0.2514357363315697,0.2514357363315697,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=17|subset=8943be4dc8241538aa6b4d78ddc65451c7047a4473568865398b24c108b0398a,cowa,True,0.4049869295260514,0.42920378069014375,0.024216851164092335,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=17|subset=8943be4dc8241538aa6b4d78ddc65451c7047a4473568865398b24c108b0398a,lir_pptd,True,0.405397382463652,0.4366388873989845,0.03124150493533251,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=17|subset=8943be4dc8241538aa6b4d78ddc65451c7047a4473568865398b24c108b0398a,no_cw,True,0.405397382463652,0.4366388873989845,0.03124150493533251,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=17|subset=8943be4dc8241538aa6b4d78ddc65451c7047a4473568865398b24c108b0398a,no_hr,True,0.33046552307547183,0.33046552307547183,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=18|subset=5ce6b6eecd05f7f0f75ec9acbc9ca4e3edd774419c081526b348c0f3b5cbef1d,cowa,True,0.27263824662014713,0.29219027332141345,0.019552026701266323,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=18|subset=5ce6b6eecd05f7f0f75ec9acbc9ca4e3edd774419c081526b348c0f3b5cbef1d,lir_pptd,True,0.32579391417487846,0.3500337183562563,0.024239804181377833,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=18|subset=5ce6b6eecd05f7f0f75ec9acbc9ca4e3edd774419c081526b348c0f3b5cbef1d,no_cw,True,0.32579391417487846,0.3500337183562563,0.024239804181377833,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=18|subset=5ce6b6eecd05f7f0f75ec9acbc9ca4e3edd774419c081526b348c0f3b5cbef1d,no_hr,True,0.23474620410049885,0.23474620410049885,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=19|subset=fc2cffe1f1c2adb44bf148eb54634be2b57c5460df7f9f5e1799931544151cad,cowa,True,0.2466681978020786,0.27049157807480295,0.023823380272724348,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=19|subset=fc2cffe1f1c2adb44bf148eb54634be2b57c5460df7f9f5e1799931544151cad,lir_pptd,True,0.2607009970517489,0.2827161142383696,0.022015117186620747,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=19|subset=fc2cffe1f1c2adb44bf148eb54634be2b57c5460df7f9f5e1799931544151cad,no_cw,True,0.2607009970517489,0.2827161142383696,0.022015117186620747,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=19|subset=fc2cffe1f1c2adb44bf148eb54634be2b57c5460df7f9f5e1799931544151cad,no_hr,True,0.2136612772492772,0.2136612772492772,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=20|subset=8a2096ca0ecfaee299977759d0262d1072d2830bbb27a7f8475f53c6f9e4973d,cowa,True,0.24985548230600374,0.2694257099337003,0.019570227627696557,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=20|subset=8a2096ca0ecfaee299977759d0262d1072d2830bbb27a7f8475f53c6f9e4973d,lir_pptd,True,0.2661278800866902,0.27981190897483255,0.013684028888142352,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=20|subset=8a2096ca0ecfaee299977759d0262d1072d2830bbb27a7f8475f53c6f9e4973d,no_cw,True,0.2661278800866902,0.27981190897483255,0.013684028888142352,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=20|subset=8a2096ca0ecfaee299977759d0262d1072d2830bbb27a7f8475f53c6f9e4973d,no_hr,True,0.1954146668896981,0.1954146668896981,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=6|subset=8e0a2948da63340bc01ff7eb65b74c2fa85a15283d2493eb29cec05471c0e3fa,cowa,True,0.3005091995746776,0.3208149554124674,0.02030575583778982,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=6|subset=8e0a2948da63340bc01ff7eb65b74c2fa85a15283d2493eb29cec05471c0e3fa,lir_pptd,True,0.3185172270236045,0.3357626129708964,0.017245385947291858,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=6|subset=8e0a2948da63340bc01ff7eb65b74c2fa85a15283d2493eb29cec05471c0e3fa,no_cw,True,0.3185172270236045,0.3357626129708964,0.017245385947291858,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=6|subset=8e0a2948da63340bc01ff7eb65b74c2fa85a15283d2493eb29cec05471c0e3fa,no_hr,True,0.2769075190429736,0.2769075190429736,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=7|subset=2641f03f64a2e1945c4441c5cd8135ffcb78ceea52532c49a323ea7fb4a9cb5a,cowa,True,0.24810298330928937,0.2627244598795725,0.01462147657028312,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=7|subset=2641f03f64a2e1945c4441c5cd8135ffcb78ceea52532c49a323ea7fb4a9cb5a,lir_pptd,True,0.27607427481973534,0.29920401408707575,0.02312973926734041,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=7|subset=2641f03f64a2e1945c4441c5cd8135ffcb78ceea52532c49a323ea7fb4a9cb5a,no_cw,True,0.27607427481973534,0.29920401408707575,0.02312973926734041,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=7|subset=2641f03f64a2e1945c4441c5cd8135ffcb78ceea52532c49a323ea7fb4a9cb5a,no_hr,True,0.19984822690556103,0.19984822690556092,1.1102230246251565e-16,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=8|subset=3b2708ccf0fabf7c4f24dd1d8bc9ee1d17be4fac716acb2b12660f4b5f02fb79,cowa,True,0.18178866623220113,0.19614662847155262,0.014357962239351485,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=8|subset=3b2708ccf0fabf7c4f24dd1d8bc9ee1d17be4fac716acb2b12660f4b5f02fb79,lir_pptd,True,0.20313153933018313,0.21046083875948574,0.007329299429302605,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=8|subset=3b2708ccf0fabf7c4f24dd1d8bc9ee1d17be4fac716acb2b12660f4b5f02fb79,no_cw,True,0.20313153933018313,0.21046083875948574,0.007329299429302605,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=8|subset=3b2708ccf0fabf7c4f24dd1d8bc9ee1d17be4fac716acb2b12660f4b5f02fb79,no_hr,True,0.16525549286150854,0.16525549286150842,1.1102230246251565e-16,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=9|subset=892d471c4bc9f170cb4509af766c119d8438bec502dfa76048ab354ef63d294d,cowa,True,0.24417279395699631,0.2678351200593463,0.023662326102349973,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=9|subset=892d471c4bc9f170cb4509af766c119d8438bec502dfa76048ab354ef63d294d,lir_pptd,True,0.28400329525565127,0.29472350311655404,0.010720207860902775,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=9|subset=892d471c4bc9f170cb4509af766c119d8438bec502dfa76048ab354ef63d294d,no_cw,True,0.28400329525565127,0.29472350311655404,0.010720207860902775,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
