dataset,rho,sweep,value,is_default,paper_metric,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,source
dog,7/10,K,3,False,MacroF1,20,0.3279972893718448,0.3019308723428657,0.353865678325858,12365093830411973805,new_hidden_selector_run
dog,7/10,K,5,False,MacroF1,20,0.3279972893718448,0.30226752442305893,0.3540580041559785,6083302300425745345,new_hidden_selector_run
dog,7/10,K,10,True,MacroF1,20,0.3279972893718448,0.30213830703782457,0.3539496544504515,8593098658899013200,reused_p0_1c_full
dog,7/10,K,20,False,MacroF1,20,0.3279972893718448,0.3022403981584731,0.3541745317471899,4250481459380323475,new_hidden_selector_run
dog,7/10,K,30,False,MacroF1,20,0.3279972893718448,0.30243448158328445,0.35447069661361574,16612874870777704903,new_hidden_selector_run
dog,7/10,lambda_tau,1/20,False,MacroF1,20,0.360327834620913,0.33304505009355717,0.38729708569182625,13978701598141250791,new_hidden_selector_run
dog,7/10,lambda_tau,1/10,False,MacroF1,20,0.34798422377443855,0.3207761552873418,0.3753722279236203,6775729802424084815,new_hidden_selector_run
dog,7/10,lambda_tau,1/5,True,MacroF1,20,0.3279972893718448,0.3019404755785389,0.3538267745883261,2385353753815355383,reused_p0_1c_full
dog,7/10,lambda_tau,2/5,False,MacroF1,20,0.30440278699906786,0.27950023379037414,0.3305462077747974,10534981610258994284,new_hidden_selector_run
dog,7/10,lambda_tau,4/5,False,MacroF1,20,0.2740158518885051,0.24995584484840191,0.29861269938579704,16699658457215912393,new_hidden_selector_run
dog,7/10,kappa,1,False,MacroF1,20,0.3286803355298837,0.3016067416884555,0.35604871018906137,8230062015697957731,new_hidden_selector_run
dog,7/10,kappa,2,True,MacroF1,20,0.3279972893718448,0.3026103705720798,0.3540555964824552,5918232132422700768,reused_p0_1c_full
dog,7/10,kappa,4,False,MacroF1,20,0.32223161596260336,0.2977347066713558,0.3471775902235324,17694214267827598613,new_hidden_selector_run
dog,7/10,calibration_period,10,False,MacroF1,20,0.38722344485986665,0.35750462570696195,0.41737949945710295,4983396367617109381,new_hidden_selector_run
dog,7/10,calibration_period,20,True,MacroF1,20,0.3297857023687261,0.303145287027051,0.35548401404868496,16613214444104245406,new_hidden_selector_run
dog,7/10,calibration_period,40,False,MacroF1,20,0.30104618141549644,0.27776008293772386,0.32435600153512023,12263798445624517813,new_hidden_selector_run
weather,3/10,K,1,False,MAE,20,0.05636866226224567,0.05472403864269266,0.05807703401060174,15555279470892991668,new_hidden_selector_run
weather,3/10,K,3,False,MAE,20,0.054087389510081754,0.05240695925972492,0.05584615810864482,14124447257036524679,new_hidden_selector_run
weather,3/10,K,5,False,MAE,20,0.05399131177417282,0.05228118986595495,0.05575122635576629,9112603292319603945,new_hidden_selector_run
weather,3/10,K,10,True,MAE,20,0.053985505764184226,0.052307558263483565,0.05574261335246738,11327305342387568377,reused_p0_1c_full
weather,3/10,K,20,False,MAE,20,0.05398549318266168,0.05232258388722468,0.055729338908676776,6947441367769148326,new_hidden_selector_run
weather,3/10,K,30,False,MAE,20,0.0539854931840821,0.0523070086830813,0.05575280059799977,6599548596229429665,new_hidden_selector_run
weather,3/10,lambda_tau,1/20,False,MAE,20,0.028384968786097056,0.025783417375555704,0.031189958514016375,4175602306720647290,new_hidden_selector_run
weather,3/10,lambda_tau,1/10,False,MAE,20,0.03853693255047041,0.03632584382943684,0.04092260456853808,2430036603305777432,new_hidden_selector_run
weather,3/10,lambda_tau,1/5,True,MAE,20,0.053985505764184226,0.05226714407126329,0.05576618764606073,10202677278500230704,reused_p0_1c_full
weather,3/10,lambda_tau,2/5,False,MAE,20,0.07055949787060918,0.06910223054445624,0.07201134111232659,292751401925701726,new_hidden_selector_run
weather,3/10,lambda_tau,4/5,False,MAE,20,0.08310083955906249,0.08170003122526585,0.08439496601546619,17755620609405193873,new_hidden_selector_run
weather,3/10,kappa,1,False,MAE,20,0.06331323831161337,0.06175256644689411,0.0649557541546899,13621390630682420100,new_hidden_selector_run
weather,3/10,kappa,2,True,MAE,20,0.053985505764184226,0.05226977379107522,0.05579981101188068,3545572854163471880,reused_p0_1c_full
weather,3/10,kappa,4,False,MAE,20,0.045346522992744984,0.04349785376462293,0.047341125266932585,14750985410437335153,new_hidden_selector_run
weather,3/10,calibration_period,10,False,MAE,20,0.05095134348227531,0.049367868989332174,0.05267118212278866,11882740952142348749,new_hidden_selector_run
weather,3/10,calibration_period,20,True,MAE,20,0.053981780687090836,0.05232962692222316,0.05578805551404558,13206712332236581188,new_hidden_selector_run
weather,3/10,calibration_period,40,False,MAE,20,0.05676285667368307,0.05511012500366262,0.05853199990008024,9468787919411880355,new_hidden_selector_run
weather,7/10,K,1,False,MAE,20,0.15081711993338603,0.14825511401159266,0.15327792891243,15556197312801245269,new_hidden_selector_run
weather,7/10,K,3,False,MAE,20,0.150725274972553,0.1477636509576193,0.15343381848191506,15756812299855131147,new_hidden_selector_run
weather,7/10,K,5,False,MAE,20,0.15072178107354958,0.14772924360975664,0.15352463162228547,686268419972996309,new_hidden_selector_run
weather,7/10,K,10,True,MAE,20,0.1507228709827862,0.14767923215858828,0.15345977385993784,2398348585101411298,reused_p0_1c_full
weather,7/10,K,20,False,MAE,20,0.15072294980224088,0.1477103066728425,0.15354329784349313,11488532736228487552,new_hidden_selector_run
weather,7/10,K,30,False,MAE,20,0.15072294989886534,0.14766682783530913,0.15356809760779472,5991279746135385354,new_hidden_selector_run
weather,7/10,lambda_tau,1/20,False,MAE,20,0.07982975486234262,0.0736794608261849,0.0862731334254987,4125028396773847573,new_hidden_selector_run
weather,7/10,lambda_tau,1/10,False,MAE,20,0.11867223971216313,0.11374399246341522,0.12338361251904355,8498880798382710192,new_hidden_selector_run
weather,7/10,lambda_tau,1/5,True,MAE,20,0.1507228709827862,0.14765609527634752,0.15352223542948418,14844356889193484728,reused_p0_1c_full
weather,7/10,lambda_tau,2/5,False,MAE,20,0.16996422799214106,0.16809900311912473,0.17173726331369082,16922006916610452325,new_hidden_selector_run
weather,7/10,lambda_tau,4/5,False,MAE,20,0.1810757896615426,0.17959354764861218,0.18255912970795649,13824228542602559292,new_hidden_selector_run
weather,7/10,kappa,1,False,MAE,20,0.16919385933874795,0.1666336291200728,0.1716205084633891,12170073372234878133,new_hidden_selector_run
weather,7/10,kappa,2,True,MAE,20,0.1507228709827862,0.14772431272847064,0.15355619955868505,15558446860728165039,reused_p0_1c_full
weather,7/10,kappa,4,False,MAE,20,0.1291612153981912,0.12564144626907853,0.13255773656077516,4963740142873467692,new_hidden_selector_run
weather,7/10,calibration_period,10,False,MAE,20,0.14150761142939403,0.13845298161173913,0.14437718503267882,5396737859780856037,new_hidden_selector_run
weather,7/10,calibration_period,20,True,MAE,20,0.15054179223705302,0.14755347528964566,0.1533927982935923,9883685130849822197,new_hidden_selector_run
weather,7/10,calibration_period,40,False,MAE,20,0.15797510682129487,0.15502671567958817,0.16068542791573648,15129232210586554233,new_hidden_selector_run
