capability,time_bin_30d,method,n,accuracy,macro_f1,tau_mode,D,resolved_tau,source_file
53,6,lir_reset30d,1,1.0,0.3333333333333333,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
56,0,lir_pptd,690242,0.9596576273249092,0.9596537722762084,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
56,0,cowa,690242,0.9598285818596956,0.9598243790359224,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
56,0,no_hr,690242,0.9413176827837192,0.9413653644712082,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
56,0,mv,690242,0.9413176827837192,0.9413653644712082,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
56,0,lir_reset30d,690242,0.9596576273249092,0.9596537722762084,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
69,0,lir_pptd,4711,0.8683931224793038,0.785295460922323,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
69,0,cowa,4711,0.8649968159626407,0.7765927418115574,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
69,0,no_hr,4711,0.8613882402886861,0.7596011145249116,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
69,0,mv,4711,0.8613882402886861,0.7596011145249116,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
69,0,lir_reset30d,4711,0.8683931224793038,0.785295460922323,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
126,0,lir_pptd,22622,0.9525682963486872,0.9369765862230788,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
126,0,cowa,22622,0.9476173636283264,0.9312296827709192,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
126,0,no_hr,22622,0.9241888427194768,0.9046404401028608,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
126,0,mv,22622,0.9241888427194768,0.9046404401028608,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
126,0,lir_reset30d,22622,0.9525682963486872,0.9369765862230788,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/time_window_metrics.csv
