dataset,rho,sweep,value,is_default,n,mean_loss_delta_vs_default,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,interpretation,inference_policy
weather,3/10,K,30,False,20,-1.258010212905e-08,-1.549073743376e-08,-9.680950737422501e-09,8900985202344386524,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,1/20,False,20,-0.02560053697808717,-0.026864148175617695,-0.02428760064127837,18027248429515835444,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,1/10,False,20,-0.01544857321371382,-0.016201450909121486,-0.014657068324954366,11176802547367163067,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,15522232322379334227,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,2/5,False,20,0.016573992106424948,0.015922440670307497,0.017211150088425824,13797111374569871778,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,4/5,False,20,0.029115333794878264,0.027983758301600062,0.030262007892758874,12058689302282735705,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,kappa,1,False,20,0.009327732547429139,0.008935705982853287,0.00969664197613044,13772709217801139984,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,kappa,2,True,20,0.0,0.0,0.0,17897451874230529366,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,kappa,4,False,20,-0.008638982771439244,-0.009035222639203127,-0.00821061586297684,1676201211963378169,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,calibration_period,10,False,20,-0.0030304372048155196,-0.003172439696098157,-0.0028813682475463996,3348922879278983704,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,calibration_period,20,True,20,0.0,0.0,0.0,17734722004392296797,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,calibration_period,40,False,20,0.002781075986592237,0.002527063300859947,0.0030235060098623818,3103728304964199710,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,1,False,20,9.42489505998435e-05,-0.0003993408089896999,0.0005737279435344224,7590173615700076967,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,3,False,20,2.403989766818e-06,-5.028584424608568e-05,5.662897574120205e-05,18007417542849753614,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,5,False,20,-1.0899092366105e-06,-8.705793086712924e-06,6.521995304256111e-06,5490920993311579432,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,10,True,20,0.0,0.0,0.0,1635788358056824805,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,20,False,20,7.88194546925e-08,-2.6008017032424996e-08,1.9644415794149999e-07,9297709905876313023,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,30,False,20,7.8916079163e-08,-2.7514786024425e-08,1.98839492158075e-07,14648169892871845878,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,1/20,False,20,-0.07089311612044356,-0.07453066761295875,-0.0668448037412329,764770227770056725,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,1/10,False,20,-0.03205063127062305,-0.03415367984222118,-0.0299167619283399,2859370274695672092,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,1923491015748196766,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,2/5,False,20,0.019241357009354886,0.01774911008623581,0.020734750072016132,8772344831418785346,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,4/5,False,20,0.030352918678756422,0.028088734790446296,0.03271108237002975,8025440001722241569,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,kappa,1,False,20,0.018470988355961778,0.01786591050532308,0.01905706959189857,14039060886869703995,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,kappa,2,True,20,0.0,0.0,0.0,4109576507792786748,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,kappa,4,False,20,-0.021561655584594983,-0.0222662334243288,-0.0208537016150075,1626171938410742689,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,calibration_period,10,False,20,-0.009034180807658998,-0.00930178481362338,-0.008782452013721218,566667178134731137,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,calibration_period,20,True,20,0.0,0.0,0.0,14507084377937003050,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,calibration_period,40,False,20,0.00743331458424184,0.007226165139565073,0.007632116364023592,16939358612919751912,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
