D,rho,support_regime,legacy_loss,geometry_loss,loss_diff,ci_low,ci_high,p_exact,rank_biserial_loss,legacy_Accuracy,geometry_Accuracy,legacy_MacroF1,geometry_MacroF1,legacy_q_correct,geometry_q_correct,legacy_q_wrong,geometry_q_wrong,legacy_q_separation,geometry_q_separation,legacy_delta_c,geometry_delta_c,legacy_A_H,geometry_A_H,legacy_A_M,geometry_A_M,legacy_A_M_over_A_H,geometry_A_M_over_A_H,legacy_tie_rate,geometry_tie_rate,legacy_score_margin,geometry_score_margin,failure_count,n,holm_p
2,0.3,binary_support,0.0020849130195998,0.0020849130195998,0.0,0.0,0.0,1.0,0.0,0.9979150869804002,0.9979150869804002,0.9979067218705584,0.9979067218705584,1.0,1.0,0.1666666666666666,0.1666666666666666,0.8333333333333333,0.8333333333333333,0.4851266074408848,0.4851266074408848,0.5257928565149819,0.5257928565149819,0.0836216245919375,0.0836216245919375,0.1615901323510185,0.1615901323510185,0.0007785652920962,0.0007785652920962,0.846924249151364,0.846924249151364,0,20,1.0
2,0.3,full_support,0.0020849130195998,0.0020849130195998,0.0,0.0,0.0,1.0,0.0,0.9979150869804002,0.9979150869804002,0.9979067218705584,0.9979067218705584,1.0,1.0,0.1666666666666666,0.1666666666666666,0.8333333333333333,0.8333333333333333,0.4851266074408848,0.4851266074408848,0.5257928565149819,0.5257928565149819,0.0836216245919375,0.0836216245919375,0.1615901323510185,0.1615901323510185,0.0007785652920962,0.0007785652920962,0.846924249151364,0.846924249151364,0,20,1.0
2,0.5,binary_support,0.1468552073423645,0.1468552073423645,0.0,0.0,0.0,1.0,0.0,0.8531447926576355,0.8531447926576355,0.852202980400264,0.852202980400264,1.0,1.0,0.1666666666666666,0.1666666666666666,0.8333333333333333,0.8333333333333333,0.4814754614008291,0.4814754614008291,0.4703466077638767,0.4703466077638767,0.1200807234906458,0.1200807234906458,0.2685139295006439,0.2685139295006439,0.0115367941648756,0.0115367941648756,0.6998741898194674,0.6998741898194674,0,20,1.0
2,0.5,full_support,0.1468552073423645,0.1468552073423645,0.0,0.0,0.0,1.0,0.0,0.8531447926576355,0.8531447926576355,0.852202980400264,0.852202980400264,1.0,1.0,0.1666666666666666,0.1666666666666666,0.8333333333333333,0.8333333333333333,0.4814754614008291,0.4814754614008291,0.4703466077638767,0.4703466077638767,0.1200807234906458,0.1200807234906458,0.2685139295006439,0.2685139295006439,0.0115367941648756,0.0115367941648756,0.6998741898194674,0.6998741898194674,0,20,1.0
2,0.7,binary_support,0.6554021788525579,0.6554021788525579,0.0,0.0,0.0,1.0,0.0,0.3445978211474421,0.3445978211474421,0.343545073554289,0.343545073554289,1.0,1.0,0.1666666666666667,0.1666666666666667,0.8333333333333333,0.8333333333333333,0.48163384864572,0.48163384864572,0.3153651457379812,0.3153651457379812,0.219191956337655,0.219191956337655,0.7944021602155854,0.7944021602155854,0.0,0.0,0.6630586735599305,0.6630586735599305,0,20,1.0
2,0.7,full_support,0.6554021788525579,0.6554021788525579,0.0,0.0,0.0,1.0,0.0,0.3445978211474421,0.3445978211474421,0.343545073554289,0.343545073554289,1.0,1.0,0.1666666666666667,0.1666666666666667,0.8333333333333333,0.8333333333333333,0.48163384864572,0.48163384864572,0.3153651457379812,0.3153651457379812,0.219191956337655,0.219191956337655,0.7944021602155854,0.7944021602155854,0.0,0.0,0.6630586735599305,0.6630586735599305,0,20,1.0
4,0.3,binary_support,0.002082228311696,0.0015640796862665,-0.0005181486254295,-0.0012967139175257,0.0,0.5,-1.0,0.997917771688304,0.9984359203137334,0.9979424362184842,0.9984430366923396,1.0,1.0,0.2857142857142857,0.1666666666666666,0.7142857142857143,0.8333333333333333,0.4350267517534308,0.4851266074408848,0.5396109193364741,0.5257928565149819,0.1481942401795918,0.0836216245919375,0.2786592096977474,0.1615901323510185,0.0007785652920962,0.0007785652920962,0.7130199162875637,0.846924249151364,0,20,1.0
4,0.3,full_support,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,0.7142857142857143,0.8333333333333333,0.4350267517534308,0.4851266074408848,0.5443674652996131,0.529303021435082,0.143277765156821,0.0820900710898366,0.2668200467336518,0.1574398569632088,0.0,0.0,0.7678681309708357,0.8749276242027454,0,20,1.0
4,0.5,binary_support,0.1717669739759262,0.1447594144115215,-0.0270075595644047,-0.0341092847950318,-0.0202231011986061,1.9073486328125e-06,-1.0,0.8282330260240738,0.8552405855884786,0.8263437762040539,0.8535777492596199,1.0,1.0,0.2857142857142857,0.1666666666666666,0.7142857142857143,0.8333333333333333,0.431687552829633,0.4814754614008291,0.4817387021997348,0.4703466077638767,0.1896786751012242,0.1200807234906458,0.4069179456671129,0.2685139295006439,0.0115367941648756,0.0115367941648756,0.4506510174482758,0.6998741898194674,0,20,5.7220458984375e-05
4,0.5,full_support,0.0805069404030146,0.0697838807277999,-0.0107230596752147,-0.014648210018606,-0.0073587977032122,3.814697265625e-06,-1.0,0.9194930595969852,0.9302161192722,0.9180196165052884,0.9290240428817588,1.0,1.0,0.2857142857142857,0.1666666666666666,0.7142857142857143,0.8333333333333333,0.431687552829633,0.4814754614008291,0.4932683827166529,0.4859697152075894,0.1753269072402936,0.103282074090246,0.3661800447606838,0.2208541607431228,0.0091322562817116,0.0091322562817116,0.5020793183670004,0.7263130390396648,0,20,6.103515625e-05
