excluded_taskset_id,delta_lir_cowa_accuracy,delta_lir_cowa_macro_f1,delta_lir_no_hr_accuracy,delta_lir_no_hr_macro_f1
8449,0.004954436875165835,0.005753772272578228,0.028399539945147323,0.03236928353095336
8451,0.004910200831637623,0.005663911272949851,0.028399539945147323,0.032377454340629
8452,0.004865749546600573,0.005609407189603566,0.02835404963064536,0.03232879635825092
8453,0.004909766454352482,0.005686654633365373,0.028352795470629855,0.03230173705688866
8454,0.004953998584571795,0.005752599003715719,0.02839702760084928,0.03235938199226629
8455,0.0048659647881093004,0.005643000317820279,0.028399539945147323,0.032346752396299916
8456,0.004954436875165946,0.0057520905886868645,0.028399539945147323,0.03236782400838356
8459,0.004998672918694158,0.005803243640853828,0.028399539945147323,0.03236851996302148
8460,0.004954217720175236,0.005755990022576651,0.028398283717432693,0.03237152635275253
8476,0.006033980839464381,0.007153619081735285,0.030487482136240973,0.036385947112562156
8485,0.0021727609962903793,0.0024304528007161874,0.024642289348171698,0.028603124210298647
8486,0.004348748408994463,0.004560471140300115,0.02476665252439536,0.0268392030314899
8487,0.005400254129606208,0.005885245198166689,0.03261329944938596,0.035465851905857604
8488,0.006470089096308862,0.007880785000840218,0.028266864658464175,0.032551537348927684
8489,0.005507016150383848,0.006739079552914418,0.02938840349483718,0.03405007127553117
