dataset,rho,order_count,lir_favored_orders,tie_orders,crh_favored_orders,min_order_mean_delta,max_order_mean_delta,mean_of_order_mean_deltas,holm_significant_lir_orders,holm_significant_crh_orders
product,3/10,5,5,0,0,-0.121663744906254,-0.11483562506599558,-0.11853593590105227,5,0
product,7/10,5,5,0,0,-0.1760900615835126,-0.16777782870691146,-0.1723314591313388,5,0
duck,3/10,5,4,0,1,-0.021153846153846162,0.002403846153846153,-0.010288461538461541,1,0
duck,7/10,5,5,0,0,-0.16201923076923075,-0.03894230769230768,-0.11182692307692306,5,0
dog,3/10,5,5,0,0,-0.05037220578031309,-0.03646802497000003,-0.04308734111335483,5,0
dog,7/10,5,5,0,0,-0.13665843211572723,-0.10273821546380597,-0.12062632034864762,5,0
weather,3/10,5,5,0,0,-0.0025617446469732986,-0.0005270760398371633,-0.001184214115345959,0,0
weather,7/10,5,5,0,0,-0.08264123153623888,-0.07891311890320674,-0.080082842357032,5,0
