capability,reentry_group,method,n,accuracy,macro_f1,tau_mode,D,resolved_tau,source_file
53,non_reentry,no_hr,86097,0.8700186998385542,0.8651876971710889,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,non_reentry,mv,86097,0.8700186998385542,0.8651876971710889,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,non_reentry,lir_reset30d,86097,0.8713776322055357,0.8658079209272969,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,reentry30,lir_pptd,14,1.0,1.0,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,reentry30,cowa,14,1.0,1.0,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,reentry30,no_hr,14,1.0,1.0,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,reentry30,mv,14,1.0,1.0,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
53,reentry30,lir_reset30d,14,1.0,1.0,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
56,non_reentry,lir_pptd,690242,0.9596576273249092,0.9596537722762084,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
56,non_reentry,cowa,690242,0.9598285818596956,0.9598243790359224,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
56,non_reentry,no_hr,690242,0.9413176827837192,0.9413653644712082,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
56,non_reentry,mv,690242,0.9413176827837192,0.9413653644712082,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
56,non_reentry,lir_reset30d,690242,0.9596576273249092,0.9596537722762084,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
69,non_reentry,lir_pptd,4711,0.8683931224793038,0.785295460922323,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
69,non_reentry,cowa,4711,0.8649968159626407,0.7765927418115574,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
69,non_reentry,no_hr,4711,0.8613882402886861,0.7596011145249116,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
69,non_reentry,mv,4711,0.8613882402886861,0.7596011145249116,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
69,non_reentry,lir_reset30d,4711,0.8683931224793038,0.785295460922323,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
126,non_reentry,lir_pptd,22622,0.9525682963486872,0.9369765862230788,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
126,non_reentry,cowa,22622,0.9476173636283264,0.9312296827709192,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
126,non_reentry,no_hr,22622,0.9241888427194768,0.9046404401028608,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
126,non_reentry,mv,22622,0.9241888427194768,0.9046404401028608,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
126,non_reentry,lir_reset30d,22622,0.9525682963486872,0.9369765862230788,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/reentry_metrics.csv
