hypothesis_id,dataset,rho,order_seed,n,lir_mean_loss,crh_mean_loss,mean_loss_delta_lir_minus_crh,lir_pair_wins,ties,crh_pair_wins,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
duck|7/10|order=7104,duck,7/10,7104,20,0.5995192307692307,0.7225961538461538,-0.12307692307692308,20,0,0,-0.14615384615384616,-0.09951923076923078,11307654859175277997,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
duck|7/10|order=7105,duck,7/10,7105,20,0.5605769230769231,0.7225961538461538,-0.16201923076923075,20,0,0,-0.18605769230769229,-0.1360576923076923,3792055377193230483,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|3/10|order=7101,dog,3/10,7101,20,0.24955656020247058,0.2860245851724706,-0.03646802497000003,20,0,0,-0.04475784523414947,-0.028633535903381534,10346855349022106233,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|3/10|order=7102,dog,3/10,7102,20,0.24161493099381035,0.2860245851724706,-0.04440965417866025,20,0,0,-0.05496403211067476,-0.03460666349338608,6031059288002787499,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|3/10|order=7103,dog,3/10,7103,20,0.2356523793921575,0.2860245851724706,-0.05037220578031309,20,0,0,-0.06021034216886304,-0.041036668498658134,3597764722596839594,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|3/10|order=7104,dog,3/10,7104,20,0.24269163271226182,0.2860245851724706,-0.043332952460208775,20,0,0,-0.05336571539641772,-0.034425212247638864,5944302293417574964,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|3/10|order=7105,dog,3/10,7105,20,0.2451707169948786,0.2860245851724706,-0.04085386817759198,20,0,0,-0.0494290338468594,-0.032784499913223616,16503584714904202046,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|7/10|order=7101,dog,7/10,7101,20,0.6856252552190549,0.7883634706828608,-0.10273821546380597,20,0,0,-0.11085648746617373,-0.09384733307656207,11229914714204700371,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|7/10|order=7102,dog,7/10,7102,20,0.662729063658381,0.7883634706828608,-0.12563440702447992,20,0,0,-0.1366960484622245,-0.11441573389553045,16292761350498482111,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|7/10|order=7103,dog,7/10,7103,20,0.6517050385671336,0.7883634706828608,-0.13665843211572723,20,0,0,-0.1476920876786946,-0.12489674183333953,11418940291444485086,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
dog|7/10|order=7104,dog,7/10,7104,20,0.6667748262247934,0.7883634706828608,-0.12158864445806741,20,0,0,-0.12996112207742883,-0.11242976373717138,345744164389120395,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
