capability,cold_bin,method,n,accuracy,macro_f1
53,all_cold,lir_pptd,22,1.0,1.0
53,all_cold,cowa,22,1.0,1.0
53,all_cold,no_hr,22,1.0,1.0
53,all_cold,mv,22,1.0,1.0
53,all_cold,lir_reset30d,22,1.0,1.0
53,history_all,lir_pptd,76679,0.8838925911918517,0.8781529742013915
53,history_all,cowa,76679,0.8837230532479557,0.8778433453907035
53,history_all,no_hr,76679,0.8819233427665985,0.8768114899313799
53,history_all,mv,76679,0.8819233427665985,0.8768114899313799
53,history_all,lir_reset30d,76679,0.8839317153327508,0.8781958410091805
53,majority_cold,lir_pptd,207,0.8695652173913043,0.8695266190620606
53,majority_cold,cowa,207,0.8647342995169082,0.8655158753301504
53,majority_cold,no_hr,207,0.8743961352657005,0.8738896383780528
53,majority_cold,mv,207,0.8743961352657005,0.8738896383780528
53,majority_cold,lir_reset30d,207,0.8695652173913043,0.8695266190620606
53,minority_cold,lir_pptd,9203,0.766597848527654,0.7647902286083906
53,minority_cold,cowa,9203,0.7658372269911985,0.764199714263226
53,minority_cold,no_hr,9203,0.7706182766489188,0.7698652109100174
53,minority_cold,mv,9203,0.7706182766489188,0.7698652109100174
53,minority_cold,lir_reset30d,9203,0.7667065087471476,0.7648814859518113
