capability,reentry_group,method,n,accuracy,macro_f1
50,non_reentry,lir_pptd,128345,0.9283415793369434,0.9282539232447311
50,non_reentry,cowa,128345,0.9205500798628696,0.9204557976735582
50,non_reentry,no_hr,128345,0.8984689703533445,0.8982869641137426
50,non_reentry,mv,128345,0.8984689703533445,0.8982869641137426
50,non_reentry,lir_reset30d,128345,0.9281623748490397,0.9280742737912034
50,reentry30,lir_pptd,128,0.953125,0.9508237701008785
50,reentry30,cowa,128,0.953125,0.9508237701008785
50,reentry30,no_hr,128,0.9609375,0.9595466863759547
50,reentry30,mv,128,0.9609375,0.9595466863759547
50,reentry30,lir_reset30d,128,0.953125,0.9508237701008785
