capability,cold_bin,method,n,accuracy,macro_f1
69,all_cold,lir_pptd,118,0.923728813559322,0.8493888888888889
69,all_cold,cowa,118,0.923728813559322,0.8493888888888889
69,all_cold,no_hr,118,0.923728813559322,0.8493888888888889
69,all_cold,mv,118,0.923728813559322,0.8493888888888889
69,all_cold,lir_reset30d,118,0.923728813559322,0.8493888888888889
69,history_all,lir_pptd,1960,0.8908163265306123,0.8111727138423898
69,history_all,cowa,1960,0.886734693877551,0.797634386949504
69,history_all,no_hr,1960,0.8806122448979592,0.7785357891778727
69,history_all,mv,1960,0.8806122448979592,0.7785357891778727
69,history_all,lir_reset30d,1960,0.8908163265306123,0.8111727138423898
69,majority_cold,lir_pptd,354,0.8700564971751412,0.8234682299892547
69,majority_cold,cowa,354,0.8531073446327684,0.8030321630860593
69,majority_cold,no_hr,354,0.864406779661017,0.7994069480925106
69,majority_cold,mv,354,0.864406779661017,0.7994069480925106
69,majority_cold,lir_reset30d,354,0.8700564971751412,0.8234682299892547
69,minority_cold,lir_pptd,2279,0.8459850811759544,0.7528057929415768
69,minority_cold,cowa,2279,0.8451075032909171,0.7497852840880093
69,minority_cold,no_hr,2279,0.8411584028082493,0.7318772322615428
69,minority_cold,mv,2279,0.8411584028082493,0.7318772322615428
69,minority_cold,lir_reset30d,2279,0.8459850811759544,0.7528057929415768
