N,abs_error,actual_preprocessing_bits,actual_preprocessing_triples,approx_rounds,batch_size,bits_left,client_id,client_wall_seconds,connect_seconds,correctness_pass,cpu_seconds,deployment,expected,global_data_sent_mb,logical_parties,m,mode,mpc_wall_seconds,mpspdz_commit,mpspdz_max_corrupted_T,mpspdz_source_sha256,mpspdz_tag,offline_phase_seconds,online_phase_seconds,output_decoded,output_raw,paper_reconstruction_threshold,party0_data_sent_mb,party_placement,private_input_batches,replicate,run_id,schema_version,send_seconds,study_id,triples_left,unused_triples_warning,wait_output_seconds,warmup
10,3.395266212624648e-08,,,19417,101,,0,18.247289708000608,0.02784476500528399,True,,4vm_vpc_3compute_1requester,0.43356559095568337,1370.12,10,20,ordinary,20.7596,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.43356555700302124,7274023,4,294.988,4+3+3,"[20, 20]",10,ordinary_m20_r10,1.0,0.044666084999335,p1d_mpspdz_real_e2e_v1,,False,18.17477885799599,False
10,2.994895603736225e-08,,,19417,101,,0,18.302240176999476,0.02748749100283021,True,,4vm_vpc_3compute_1requester,0.45376148805260036,1370.12,10,20,ordinary,21.0088,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.4537615180015564,7612855,4,294.988,4+3+3,"[20, 20]",11,ordinary_m20_r11,1.0,0.045159939996665344,p1d_mpspdz_real_e2e_v1,,False,18.22959274599998,False
10,3.611565813077533e-08,,,19417,101,,0,18.21528164800111,0.027876334999746177,True,,4vm_vpc_3compute_1requester,0.47153999770163313,1370.12,10,20,ordinary,20.7341,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.47154003381729126,7911129,4,294.988,4+3+3,"[20, 20]",12,ordinary_m20_r12,1.0,0.045203531997685786,p1d_mpspdz_real_e2e_v1,,False,18.142201781003678,False
10,1.5589610380395413e-08,,,19417,101,,0,18.33342012099456,0.02798473100119736,True,,4vm_vpc_3compute_1requester,0.49333055386246805,1370.12,10,20,ordinary,20.7873,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.49333053827285767,8276713,4,294.988,4+3+3,"[20, 20]",13,ordinary_m20_r13,1.0,0.04534620599588379,p1d_mpspdz_real_e2e_v1,,False,18.26008918399748,False
10,7.616940522758853e-09,,,19417,101,,0,18.265041721999296,0.02779899799497798,True,,4vm_vpc_3compute_1requester,0.5209097786074247,1370.12,10,20,ordinary,20.7648,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5209097862243652,8739416,4,294.988,4+3+3,"[20, 20]",14,ordinary_m20_r14,1.0,0.04500900400307728,p1d_mpspdz_real_e2e_v1,,False,18.19223372000124,False
10,3.356008204669081e-08,,,19417,101,,0,18.31877560599969,0.027607313000771683,True,,4vm_vpc_3compute_1requester,0.5339174010184256,1370.12,10,20,ordinary,20.7572,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5339173674583435,8957647,4,294.988,4+3+3,"[20, 20]",15,ordinary_m20_r15,1.0,0.04625098100223113,p1d_mpspdz_real_e2e_v1,,False,18.244917311996687,False
10,2.695480649794746e-08,,,19417,101,,0,18.240093854001316,0.027191259003302548,True,,4vm_vpc_3compute_1requester,0.5433012573583954,1370.12,10,20,ordinary,20.8977,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5433012843132019,9115083,4,294.988,4+3+3,"[20, 20]",16,ordinary_m20_r16,1.0,0.044739021999703255,p1d_mpspdz_real_e2e_v1,,False,18.16816357299831,False
10,2.6245252304768485e-08,,,19417,101,,0,18.28577329499967,0.02754562799964333,True,,4vm_vpc_3compute_1requester,0.5247831011010567,1370.12,10,20,ordinary,20.7765,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5247830748558044,8804399,4,294.988,4+3+3,"[20, 20]",17,ordinary_m20_r17,1.0,0.04540644599910593,p1d_mpspdz_real_e2e_v1,,False,18.212821221000922,False
10,2.6544164755115673e-08,,,19417,101,,0,18.452164646005258,0.028095603003748693,True,,4vm_vpc_3compute_1requester,0.5384732815422305,1370.12,10,20,ordinary,20.966,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5384733080863953,9034083,4,294.988,4+3+3,"[20, 20]",18,ordinary_m20_r18,1.0,0.04601201500190655,p1d_mpspdz_real_e2e_v1,,False,18.378057027999603,False
10,4.111761864322716e-08,,,19417,101,,0,18.509187594005198,0.027328356001817156,True,,4vm_vpc_3compute_1requester,0.5149838739537698,1370.12,10,20,ordinary,21.1621,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5149838328361511,8639995,4,294.988,4+3+3,"[20, 20]",19,ordinary_m20_r19,1.0,0.04510089300310938,p1d_mpspdz_real_e2e_v1,,False,18.43675834500027,False
10,1.6021094562113092e-08,,,19417,101,,0,18.568791965000855,0.028013852999720257,True,,4vm_vpc_3compute_1requester,0.5448338229185722,1370.12,10,20,ordinary,21.0549,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5448338389396667,9140795,4,294.988,4+3+3,"[20, 20]",20,ordinary_m20_r20,1.0,0.04518596200068714,p1d_mpspdz_real_e2e_v1,,False,18.495592150000448,False
10,9.61383639364044e-10,,,19417,101,,0,18.561990005000553,0.027885310002602637,True,,4vm_vpc_3compute_1requester,0.4781504859847223,1370.12,10,20,ordinary,21.0612,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.47815048694610596,8022034,4,294.988,4+3+3,"[20, 20]",21,ordinary_m20_r21,1.0,0.04519104299833998,p1d_mpspdz_real_e2e_v1,,False,18.48891365199961,False
10,9.943666723355449e-09,,,19417,101,,0,18.352681125004892,0.02769898700353224,True,,4vm_vpc_3compute_1requester,0.4964101413981345,1370.12,10,20,ordinary,20.9681,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.4964101314544678,8328380,4,294.988,4+3+3,"[20, 20]",22,ordinary_m20_r22,1.0,0.045101553994754795,p1d_mpspdz_real_e2e_v1,,False,18.279880584006605,False
10,1.0746211753787094e-08,,,19417,101,,0,18.44033563499397,0.027745304993004538,True,,4vm_vpc_3compute_1requester,0.4662822377507975,1370.12,10,20,ordinary,20.945,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.4662822484970093,7822918,4,294.988,4+3+3,"[20, 20]",23,ordinary_m20_r23,1.0,0.04479346400330542,p1d_mpspdz_real_e2e_v1,,False,18.36779686599766,False
10,3.467006626234337e-08,,,19417,101,,0,18.347107584995683,0.0281689940020442,True,,4vm_vpc_3compute_1requester,0.5176227938135153,1370.12,10,20,ordinary,20.7726,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5176228284835815,8684270,4,294.988,4+3+3,"[20, 20]",24,ordinary_m20_r24,1.0,0.04578802799369441,p1d_mpspdz_real_e2e_v1,,False,18.273150562999945,False
10,5.864856356119219e-08,,,2190,101,,0,2.045469447002688,0.027769820000685286,True,,4vm_vpc_3compute_1requester,0.593577028276943,134.282,10,20,calibration,4.66227,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5935770869255066,9958571,4,29.1597,4+3+3,"[20, 20, 1]",0,calibration_m20_r00,1.0,0.08594562100188341,p1d_mpspdz_real_e2e_v1,,False,1.9317540060001193,True
10,1.909521685217186e-08,,,2190,101,,0,2.021484295000846,0.027468891006719787,True,,4vm_vpc_3compute_1requester,0.6184461521885051,134.282,10,20,calibration,4.53293,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6184461712837219,10375805,4,29.1597,4+3+3,"[20, 20, 1]",1,calibration_m20_r01,1.0,0.08707734699419234,p1d_mpspdz_real_e2e_v1,,False,1.906938056999934,True
10,2.201588022998635e-09,,,2190,101,,0,2.014443554005993,0.02691278300335398,True,,4vm_vpc_3compute_1requester,0.5900865771212269,134.282,10,20,calibration,4.5009,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5900865793228149,9900010,4,29.1597,4+3+3,"[20, 20, 1]",2,calibration_m20_r02,1.0,0.08649197300110245,p1d_mpspdz_real_e2e_v1,,False,1.9010387980015366,True
10,4.837611289332244e-08,,,2190,101,,0,2.0248615629971027,0.02780714799882844,True,,4vm_vpc_3compute_1requester,0.6153554432620707,134.282,10,20,calibration,4.70652,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6153554916381836,10323952,4,29.1597,4+3+3,"[20, 20, 1]",3,calibration_m20_r03,1.0,0.08604175799700897,p1d_mpspdz_real_e2e_v1,,False,1.9110126570012653,True
10,6.735254309830907e-08,,,2190,101,,0,1.992924452999432,0.027180525998119265,True,,4vm_vpc_3compute_1requester,0.5851258558041952,134.282,10,20,calibration,4.52222,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5851259231567383,9816784,4,29.1597,4+3+3,"[20, 20, 1]",4,calibration_m20_r04,1.0,0.08592905099794734,p1d_mpspdz_real_e2e_v1,,False,1.8798148760033655,True
10,4.815596643670261e-08,,,2190,101,,0,2.020311266001954,0.027487729996209964,True,,4vm_vpc_3compute_1requester,0.6074504966781705,134.282,10,20,calibration,4.51093,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.607450544834137,10191329,4,29.1597,4+3+3,"[20, 20, 1]",5,calibration_m20_r05,1.0,0.08611487700545695,p1d_mpspdz_real_e2e_v1,,False,1.9067086590002873,False
10,2.9512526977804043e-08,,,2190,101,,0,2.0474309519995586,0.0279736230004346,True,,4vm_vpc_3compute_1requester,0.5752836766756749,134.282,10,20,calibration,4.73758,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5752837061882019,9651659,4,29.1597,4+3+3,"[20, 20, 1]",6,calibration_m20_r06,1.0,0.08711222400597762,p1d_mpspdz_real_e2e_v1,,False,1.9323451049931464,False
10,1.0168895725470861e-09,,,2190,101,,0,2.0191238460029126,0.02738931099884212,True,,4vm_vpc_3compute_1requester,0.5983974347746716,134.282,10,20,calibration,4.4513,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.598397433757782,10039443,4,29.1597,4+3+3,"[20, 20, 1]",7,calibration_m20_r07,1.0,0.08638894600153435,p1d_mpspdz_real_e2e_v1,,False,1.9053455890025361,False
10,1.4470911802177966e-08,,,2190,101,,0,2.0511609300010605,0.02778295199823333,True,,4vm_vpc_3compute_1requester,0.591174020933009,134.282,10,20,calibration,4.50307,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5911740064620972,9918254,4,29.1597,4+3+3,"[20, 20, 1]",8,calibration_m20_r08,1.0,0.08647557299991604,p1d_mpspdz_real_e2e_v1,,False,1.936902405002911,False
10,2.2885508488279527e-08,,,2190,101,,0,2.018528562002757,0.027583267001318745,True,,4vm_vpc_3compute_1requester,0.5922127137210894,134.282,10,20,calibration,4.71852,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5922127366065979,9935681,4,29.1597,4+3+3,"[20, 20, 1]",9,calibration_m20_r09,1.0,0.08630973500112304,p1d_mpspdz_real_e2e_v1,,False,1.9046355600003153,False
10,5.121099244664862e-08,,,2190,101,,0,1.9984980109948083,0.027828368998598307,True,,4vm_vpc_3compute_1requester,0.6010425770772766,134.282,10,20,calibration,4.42903,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.601042628288269,10083822,4,29.1597,4+3+3,"[20, 20, 1]",10,calibration_m20_r10,1.0,0.08670392799831461,p1d_mpspdz_real_e2e_v1,,False,1.8839657139978954,False
10,4.021919897123638e-08,,,2190,101,,0,2.020135169994319,0.027649093994114082,True,,4vm_vpc_3compute_1requester,0.6023059681197293,134.282,10,20,calibration,4.48526,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6023060083389282,10105018,4,29.1597,4+3+3,"[20, 20, 1]",11,calibration_m20_r11,1.0,0.0864992990027531,p1d_mpspdz_real_e2e_v1,,False,1.9059867769974517,False
10,2.8177371547144503e-08,,,2190,101,,0,2.03440689999843,0.02811819299677154,True,,4vm_vpc_3compute_1requester,0.6038197593249173,134.282,10,20,calibration,4.70979,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6038197875022888,10130415,4,29.1597,4+3+3,"[20, 20, 1]",12,calibration_m20_r12,1.0,0.08594866000203183,p1d_mpspdz_real_e2e_v1,,False,1.9203400469996268,False
10,4.007763465541103e-08,,,2190,101,,0,2.026979656002368,0.027636406004603487,True,,4vm_vpc_3compute_1requester,0.6041344003444235,134.282,10,20,calibration,4.47963,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6041344404220581,10135694,4,29.1597,4+3+3,"[20, 20, 1]",13,calibration_m20_r13,1.0,0.08575787099834997,p1d_mpspdz_real_e2e_v1,,False,1.9135853789994144,False
10,3.607423781915031e-08,,,2190,101,,0,2.020892713997455,0.02799028500157874,True,,4vm_vpc_3compute_1requester,0.6309535738691521,134.282,10,20,calibration,4.44215,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6309536099433899,10585645,4,29.1597,4+3+3,"[20, 20, 1]",14,calibration_m20_r14,1.0,0.08614666599896736,p1d_mpspdz_real_e2e_v1,,False,1.9067557629969087,False
10,6.228066662394838e-08,,,2190,101,,0,2.021398721000878,0.02749785400374094,True,,4vm_vpc_3compute_1requester,0.6040956351222875,134.282,10,20,calibration,4.74441,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6040956974029541,10135044,4,29.1597,4+3+3,"[20, 20, 1]",15,calibration_m20_r15,1.0,0.08768689400312724,p1d_mpspdz_real_e2e_v1,,False,1.90621397299401,False
10,6.560552900936045e-08,,,2190,101,,0,2.030103949000477,0.027863609000633005,True,,4vm_vpc_3compute_1requester,0.60447513457071,134.282,10,20,calibration,4.50655,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.604475200176239,10141411,4,29.1597,4+3+3,"[20, 20, 1]",16,calibration_m20_r16,1.0,0.08685966900520725,p1d_mpspdz_real_e2e_v1,,False,1.9153806709946366,False
10,7.401472146284505e-08,,,2190,101,,0,2.0132205310001154,0.027166306994331535,True,,4vm_vpc_3compute_1requester,0.6039271210574526,134.282,10,20,calibration,4.47612,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6039271950721741,10132217,4,29.1597,4+3+3,"[20, 20, 1]",17,calibration_m20_r17,1.0,0.08622974999889266,p1d_mpspdz_real_e2e_v1,,False,1.8998244740068913,False
10,7.38650507425831e-08,,,2190,101,,0,2.013446181998006,0.02772618199378485,True,,4vm_vpc_3compute_1requester,0.6031930304020696,134.282,10,20,calibration,4.67644,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6031931042671204,10119901,4,29.1597,4+3+3,"[20, 20, 1]",18,calibration_m20_r18,1.0,0.08617353300360264,p1d_mpspdz_real_e2e_v1,,False,1.8995464670006186,False
10,6.094486870722449e-08,,,2190,101,,0,1.9734823359976872,0.028091566993680317,True,,4vm_vpc_3compute_1requester,0.6007194505640729,134.282,10,20,calibration,4.44638,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6007195115089417,10078401,4,29.1597,4+3+3,"[20, 20, 1]",19,calibration_m20_r19,1.0,0.08595601200067904,p1d_mpspdz_real_e2e_v1,,False,1.8594347570033278,False
10,3.2038234842879376e-08,,,2190,101,,0,2.0067186239975854,0.027690568997059017,True,,4vm_vpc_3compute_1requester,0.6256367839865454,134.282,10,20,calibration,4.47845,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6256368160247803,10496444,4,29.1597,4+3+3,"[20, 20, 1]",20,calibration_m20_r20,1.0,0.08670617600000696,p1d_mpspdz_real_e2e_v1,,False,1.8923218790005194,False
10,1.5248650009347386e-08,,,2190,101,,0,2.009072495995497,0.02758299099514261,True,,4vm_vpc_3compute_1requester,0.592970594416267,134.282,10,20,calibration,4.67805,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.592970609664917,9948396,4,29.1597,4+3+3,"[20, 20, 1]",21,calibration_m20_r21,1.0,0.08688106000045082,p1d_mpspdz_real_e2e_v1,,False,1.8946084449999034,False
10,4.695478339478143e-08,,,2190,101,,0,1.9696444840010372,0.027690570001141168,True,,4vm_vpc_3compute_1requester,0.6165909893649493,134.282,10,20,calibration,4.44572,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.6165910363197327,10344681,4,29.1597,4+3+3,"[20, 20, 1]",22,calibration_m20_r22,1.0,0.08568458200170426,p1d_mpspdz_real_e2e_v1,,False,1.8562693319981918,False
10,5.755869136869762e-08,,,2190,101,,0,1.9774980090005556,0.02819957199972123,True,,4vm_vpc_3compute_1requester,0.5838845988705994,134.282,10,20,calibration,4.50541,26a605368e40fed3a7e9cee78c9a3f4390b85eb5,3,82c93103852a4c4c1053060f117c20fe0f0d6ad0b9ba4808b226b2dc89d93ab3,v0.4.3,,,0.5838846564292908,9795959,4,29.1597,4+3+3,"[20, 20, 1]",23,calibration_m20_r23,1.0,0.08689366900216555,p1d_mpspdz_real_e2e_v1,,False,1.8624047679986688,False
