dataset,scenario,n,lir_pptd_primary_loss_mean,lir_pptd_paper_metric_mean,lir_pptd_early_post_point_loss_mean,lir_pptd_post_cal_alignment_mean,cowa_primary_loss_mean,cowa_paper_metric_mean,cowa_early_post_point_loss_mean,cowa_post_cal_alignment_mean,no_cw_primary_loss_mean,no_cw_paper_metric_mean,no_cw_early_post_point_loss_mean,no_cw_post_cal_alignment_mean,no_hr_primary_loss_mean,no_hr_paper_metric_mean,no_hr_early_post_point_loss_mean,no_hr_post_cal_alignment_mean
product,benign_to_malicious,15,0.5551976983902827,0.4448023016097173,0.5903499830105334,0.10530332488738765,0.6646487159364356,0.3353512840635643,0.6470948012232416,0.16387682624171787,0.5551976983902827,0.4448023016097173,0.5903499830105334,0.10530332488738765,0.6853851744533834,0.3146148255466165,0.6497451580020388,0.0
product,malicious_to_benign,15,0.2316128810030732,0.7683871189969268,0.10472307169554876,-0.08604232951312375,0.261422846494861,0.738577153505139,0.13700305810397553,-0.19238780743892755,0.2316128810030732,0.7683871189969268,0.10472307169554876,-0.08604232951312375,0.2483548871098191,0.7516451128901809,0.10091743119266056,0.0
duck,benign_to_malicious,15,0.6185185185185186,0.3814814814814815,0.8,,0.6148148148148148,0.3851851851851852,0.780952380952381,,0.6185185185185186,0.3814814814814815,0.8,,0.6222222222222222,0.3777777777777777,0.7857142857142858,
duck,malicious_to_benign,15,0.3444444444444444,0.6555555555555556,0.35238095238095235,,0.33209876543209876,0.6679012345679013,0.34285714285714286,,0.3444444444444444,0.6555555555555556,0.35238095238095235,,0.35185185185185186,0.6481481481481481,0.35714285714285715,
dog,benign_to_malicious,15,0.6879301827613504,0.3120698172386495,0.7270175438596491,0.06490152171674257,0.7092731130606081,0.2907268869393918,0.7305263157894737,0.10604202740136531,0.6879301827613504,0.3120698172386495,0.7270175438596491,0.06490152171674257,0.7782951382390949,0.22170486176090506,0.7775438596491229,0.0
dog,malicious_to_benign,15,0.17037554761294746,0.8296244523870525,0.14105263157894737,-0.05963465943110682,0.18459262478198862,0.8154073752180114,0.15859649122807015,-0.11338831181621499,0.17037554761294746,0.8296244523870525,0.14105263157894737,-0.05963465943110682,0.18022375554608683,0.8197762444539133,0.15789473684210525,0.0
weather,benign_to_malicious,15,0.15958319817989589,0.15958319817989589,0.19093678690470897,0.32016642016283775,0.1899462188953951,0.1899462188953951,0.20699179135894422,0.0734868002005912,0.158081725132691,0.158081725132691,0.18295600034311396,0.32016642016283775,0.20742866027003465,0.20742866027003465,0.2287361474948891,0.0
weather,malicious_to_benign,15,0.025011894588222873,0.025011894588222873,0.026560578312808784,-0.15428176109931488,0.024755852854572057,0.024755852854572057,0.024731192556306084,-0.24293392331209093,0.025411335127435836,0.025411335127435836,0.026961151321084276,-0.15428176109931488,0.025790497588364727,0.025790497588364727,0.02583909547188076,0.0
