hypothesis_id,contrast,first_method,comparator,endpoint,favorable_direction_for_first_method,dataset,scenario,endpoint_status,n,first_method_pair_wins,ties,comparator_pair_wins,mean_delta_first_minus_comparator,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial_first_minus_comparator,mean_direction,holm_adjusted_p,holm_family_size,holm_direction
full_vs_cowa|post_calibration_alignment|product|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,product,benign_to_malicious,available,15,0,0,15,-0.05857350135433021,-0.07299618990121519,-0.04494854964690011,12243594668832826587,6.103515625e-05,-1.0,comparator_win,0.0003662109375,6,comparator_win
full_vs_cowa|post_calibration_alignment|product|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,product,malicious_to_benign,available,15,15,0,0,0.10634547792580382,0.09561480563660572,0.11729257659569206,15597737165206123714,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
full_vs_cowa|post_calibration_alignment|duck|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,duck,benign_to_malicious,unavailable_no_post_switch_calibration,0,0,0,0,,,,,,,not_tested,,6,not_tested
full_vs_cowa|post_calibration_alignment|duck|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,duck,malicious_to_benign,unavailable_no_post_switch_calibration,0,0,0,0,,,,,,,not_tested,,6,not_tested
full_vs_cowa|post_calibration_alignment|dog|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,dog,benign_to_malicious,available,15,1,0,14,-0.04114050568462274,-0.05490587821221205,-0.027041054432029556,10516701935813550066,0.00030517578125,-0.95,comparator_win,0.0003662109375,6,comparator_win
full_vs_cowa|post_calibration_alignment|dog|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,dog,malicious_to_benign,available,15,14,0,1,0.05375365238510817,0.039136486057927286,0.06873183595860391,5469529168087993151,0.0001220703125,0.9833333333333333,first_win,0.0003662109375,6,first_win
full_vs_cowa|post_calibration_alignment|weather|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,weather,benign_to_malicious,available,15,15,0,0,0.24667961996224658,0.2399149608259642,0.2531909352058647,15372602609644215762,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
full_vs_cowa|post_calibration_alignment|weather|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_calibration_alignment,higher,weather,malicious_to_benign,available,15,15,0,0,0.08865216221277604,0.08168499045885144,0.0961206135084819,9497241264544643390,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
no_cw_vs_cowa|post_switch_primary_loss|product|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,product,benign_to_malicious,available,15,15,0,0,-0.10945101754615304,-0.11838611549768546,-0.10013916622413381,14917347576394627844,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|post_switch_primary_loss|product|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,product,malicious_to_benign,available,15,15,0,0,-0.02980996549178785,-0.03322846267115503,-0.026118410244686897,13304937411133776529,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|post_switch_primary_loss|duck|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,duck,benign_to_malicious,available,15,4,8,3,0.003703703703703707,-0.006172839506172847,0.014814814814814833,9992890537219108166,0.625,0.2857142857142857,comparator_win,0.625,8,nonsignificant
no_cw_vs_cowa|post_switch_primary_loss|duck|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,duck,malicious_to_benign,available,15,3,4,8,0.012345679012345664,0.0012345679012345484,0.024691358024691336,14886929387147347547,0.1005859375,0.45454545454545453,comparator_win,0.3017578125,8,nonsignificant
