dataset,budget,n_runs,mean_loss,seed_mean_loss,ci95_low,ci95_high,mean_realized_calibration_count,common_scoring_task_count
dog,0.01,200,0.7682432597693025,0.7682432597693025,0.7561196856116759,0.7789462809075931,8.6,725
dog,0.02,200,0.7414170029754797,0.7414170029754796,0.728256458709788,0.7533438945705925,16.4,725
dog,0.05,200,0.6784548887086104,0.6784548887086104,0.6610679652415543,0.6951912908665817,40.6,725
dog,0.1,200,0.6039601241006243,0.6039601241006243,0.5883845332906167,0.6187522100552527,82.4,725
weather,0.01,200,0.17682413185027623,0.17682413185027623,0.1712292214416619,0.18239629962933526,18.9,1535
weather,0.02,200,0.1666319629293257,0.16663196292932567,0.16234466849915324,0.17071091057326496,35.4,1535
weather,0.05,200,0.15419369817713857,0.15419369817713857,0.15172110112323228,0.15668189821491982,87.5,1535
weather,0.1,200,0.14568411610244728,0.14568411610244728,0.14404185095172678,0.14733072257950539,170.7,1535
