hypothesis_id,dataset,budget,reference_budget,mean_delta_loss_vs_5pct,p_raw,seed_deltas,p_holm,holm_significant
dog|1pct-vs-5pct,dog,0.01,0.05,0.08978837106069207,0.001953125,"[0.11656895734712547, 0.0752543497832987, 0.11041774075285427, 0.08699611663833895, 0.06260062025235436, 0.12371206489821696, 0.07942043648299535, 0.08084177510274926, 0.06172179340693573, 0.10034985594205159]",0.01171875,True
dog|2pct-vs-5pct,dog,0.02,0.05,0.06296211426686917,0.001953125,"[0.1013708685108412, 0.04367280441488808, 0.06336956821818285, 0.049610091272452195, 0.039816464468332424, 0.0971198010688169, 0.06444331049881669, 0.04541444828433927, 0.056536838813539436, 0.06826694711848258]",0.01171875,True
dog|10pct-vs-5pct,dog,0.1,0.05,-0.07449476460798612,0.001953125,"[-0.0361104693557861, -0.09260187987518043, -0.07094657324766152, -0.0765558233387047, -0.10259719994538818, -0.07170786599706047, -0.06565571580255092, -0.102182000353914, -0.048453544780409086, -0.0781365733832059]",0.01171875,True
weather|1pct-vs-5pct,weather,0.01,0.05,0.02263043367313767,0.001953125,"[0.01995723171888461, 0.01889342374681266, 0.026857523585449072, 0.012607684425078813, 0.03633783417196895, 0.03376199205272906, 0.019566613499668234, 0.02151227079773188, 0.02515640834157587, 0.011653354391477522]",0.01171875,True
weather|2pct-vs-5pct,weather,0.02,0.05,0.012438264752187123,0.001953125,"[0.013420068487404402, 0.011129300937352399, 0.010366535129307436, 0.007254361042528856, 0.020174802294055022, 0.023924353139149146, 0.012618937210152448, 0.012568738039066968, 0.0070010528780390935, 0.005924498364815456]",0.01171875,True
weather|10pct-vs-5pct,weather,0.1,0.05,-0.008509582074691279,0.001953125,"[-0.008129586248687731, -0.007995828844323566, -0.009132544976752116, -0.013506130518080778, -0.012166874996732246, -0.007349379065674955, -0.005966817346596931, -0.00931864023560916, -0.006630534072053135, -0.00489948444240218]",0.01171875,True
