dataset,rho,calibration_epoch,task_index,task_id,method,display_name,quantity,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
dog,7/10,7,136,dog:91,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.02956546900612484,0.026985114581845045,0.03193229517405414
dog,7/10,7,136,dog:91,no_eg,No-EG,mean_reputation_honest,20,0.3328210422329109,0.32579171689811326,0.3397045236977033
dog,7/10,7,136,dog:91,no_eg,No-EG,mean_reputation_malicious,20,0.5572233359484148,0.5517010694215878,0.562217099607067
dog,7/10,7,136,dog:91,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.22440229371550388,-0.2340968567853165,-0.21390958632863086
dog,7/10,8,151,dog:747,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5051836723484848,0.5021853205018939,0.5080677792771464
dog,7/10,8,151,dog:747,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.46821109736435995,0.4669067260926205,0.469464965038428
dog,7/10,8,151,dog:747,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.03697257498412487,0.03447589398838646,0.03928729770224286
dog,7/10,8,151,dog:747,no_eg,No-EG,mean_reputation_honest,20,0.33159567148460095,0.3229322862902684,0.34077229003251197
dog,7/10,8,151,dog:747,no_eg,No-EG,mean_reputation_malicious,20,0.5513669407608036,0.5461055209130122,0.555882949297233
dog,7/10,8,151,dog:747,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.21977126927620266,-0.2308613152669152,-0.2072019481849347
dog,7/10,9,167,dog:231,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5023114375,0.4985264588857323,0.5059826499842172
dog,7/10,9,167,dog:231,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4698413797108512,0.4684011817034448,0.4712908697403956
dog,7/10,9,167,dog:231,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.03247005778914879,0.02950912155360945,0.03532468603671376
dog,7/10,9,167,dog:231,no_eg,No-EG,mean_reputation_honest,20,0.3235133587083623,0.31503212545585135,0.3322735278621028
dog,7/10,9,167,dog:231,no_eg,No-EG,mean_reputation_malicious,20,0.5599554440208535,0.5551874641440353,0.564737333335226
dog,7/10,9,167,dog:231,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2364420853124912,-0.24689244306989147,-0.2257065655773557
dog,7/10,10,182,dog:610,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5045636332070708,0.5001569067550506,0.5087441973800505
dog,7/10,10,182,dog:610,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.46603095940444283,0.46444853446028267,0.46763361810657283
dog,7/10,10,182,dog:610,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.038532673802627884,0.03525649477320147,0.041702755233167035
dog,7/10,10,182,dog:610,no_eg,No-EG,mean_reputation_honest,20,0.31479106675408836,0.30616605465538954,0.32396866586116596
dog,7/10,10,182,dog:610,no_eg,No-EG,mean_reputation_malicious,20,0.5707307624787821,0.565947117267517,0.5753277262458186
dog,7/10,10,182,dog:610,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2559396957246937,-0.2675001801637037,-0.24418725315241155
dog,7/10,11,200,dog:622,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5068571467276936,0.502273883526936,0.5112861747493161
dog,7/10,11,200,dog:622,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4604710000249587,0.4588028742311659,0.46218310437936355
dog,7/10,11,200,dog:622,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.046386146702734866,0.042659111395212675,0.049940772254283186
dog,7/10,11,200,dog:622,no_eg,No-EG,mean_reputation_honest,20,0.3129097355817053,0.3041746801331788,0.3218233665797773
dog,7/10,11,200,dog:622,no_eg,No-EG,mean_reputation_malicious,20,0.5645795546270816,0.5603871402451126,0.5684640349805834
dog,7/10,11,200,dog:622,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.25166981904537633,-0.26205356957171805,-0.24105324846459159
