seed,family,attack,rho,endpoint,lir_pptd_primary_loss,mean_vote_primary_loss,delta_lir_minus_mean,final_reputation_gap,effective_attacked_report_fraction,calibration_attacked_count,on_off_starting_phase
4001,synthetic_num_small,persistent,0,MAE,0.0094154848195143810,0.0094142816776775042,0.0000012031418368767973,,0.0,0,not_applicable
4002,synthetic_num_small,persistent,0,MAE,0.0088542224790237673,0.0088555142310047087,-0.0000012917519809413709,,0.0,0,not_applicable
4003,synthetic_num_small,persistent,0,MAE,0.010100524752485033,0.010093758509674869,0.0000067662428101637985,,0.0,0,not_applicable
4004,synthetic_num_small,persistent,0,MAE,0.0089253131283006037,0.0089367573974147788,-0.000011444269114175151,,0.0,0,not_applicable
4005,synthetic_num_small,persistent,0,MAE,0.0091058917048258886,0.0091117493843632674,-0.0000058576795373788373,,0.0,0,not_applicable
4006,synthetic_num_small,persistent,0,MAE,0.0093375643750048219,0.0093341018751970559,0.0000034624998077659754,,0.0,0,not_applicable
4007,synthetic_num_small,persistent,0,MAE,0.0087654700899360418,0.0087753220237290823,-0.0000098519337930404063,,0.0,0,not_applicable
4008,synthetic_num_small,persistent,0,MAE,0.0089895427588558280,0.0089875611122901621,0.0000019816465656659110,,0.0,0,not_applicable
4009,synthetic_num_small,persistent,0,MAE,0.0087120958283582097,0.0087058679930633669,0.0000062278352948427351,,0.0,0,not_applicable
4010,synthetic_num_small,persistent,0,MAE,0.0093467186735110598,0.0093453526369308447,0.0000013660365802151652,,0.0,0,not_applicable
4011,synthetic_num_small,persistent,0,MAE,0.0089802089567158251,0.0089780028233075879,0.0000022061334082372388,,0.0,0,not_applicable
4012,synthetic_num_small,persistent,0,MAE,0.0088882542938675684,0.0088907758854284686,-0.0000025215915609001831,,0.0,0,not_applicable
4013,synthetic_num_small,persistent,0,MAE,0.0093081678598436364,0.0092977684568876610,0.000010399402955975467,,0.0,0,not_applicable
4014,synthetic_num_small,persistent,0,MAE,0.0092483284565731050,0.0092492810995805381,-9.5264300743317365e-7,,0.0,0,not_applicable
4015,synthetic_num_small,persistent,0,MAE,0.0094511913252962935,0.0094496885314852911,0.0000015027938110024457,,0.0,0,not_applicable
4016,synthetic_num_small,persistent,0,MAE,0.0086750309960758374,0.0086709272272656243,0.0000041037688102130957,,0.0,0,not_applicable
4017,synthetic_num_small,persistent,0,MAE,0.0087232184574098351,0.0087177403615897750,0.0000054780958200601125,,0.0,0,not_applicable
4018,synthetic_num_small,persistent,0,MAE,0.0086223153443871018,0.0086197009281418380,0.0000026144162452637983,,0.0,0,not_applicable
4019,synthetic_num_small,persistent,0,MAE,0.0084102108759764234,0.0084099539110728820,2.5696490354139929e-7,,0.0,0,not_applicable
4020,synthetic_num_small,persistent,0,MAE,0.0087235186767932118,0.0087266889565725501,-0.0000031702797793383499,,0.0,0,not_applicable
4001,synthetic_num_small,persistent,1/10,MAE,0.018293228922868563,0.026282617098459452,-0.0079893881755908892,0.19073882723916868,0.1,5,not_applicable
4002,synthetic_num_small,persistent,1/10,MAE,0.019342932765579587,0.027121231212773919,-0.0077782984471943321,0.14746725311878106,0.1,5,not_applicable
4003,synthetic_num_small,persistent,1/10,MAE,0.018497700404745669,0.025841572357001916,-0.0073438719522562469,0.14694953655906928,0.1,5,not_applicable
4004,synthetic_num_small,persistent,1/10,MAE,0.017577186233433441,0.024910788948020109,-0.0073336027145866677,0.13369367524120135,0.1,5,not_applicable
4005,synthetic_num_small,persistent,1/10,MAE,0.018829410120545927,0.026698376544199116,-0.0078689664236531885,0.13536265712863715,0.1,5,not_applicable
4006,synthetic_num_small,persistent,1/10,MAE,0.018999068440275959,0.026810077145956108,-0.0078110087056801490,0.17355061823729634,0.1,5,not_applicable
4007,synthetic_num_small,persistent,1/10,MAE,0.017711015532599051,0.024504329499758566,-0.0067933139671595152,0.15131338952287787,0.1,5,not_applicable
4008,synthetic_num_small,persistent,1/10,MAE,0.019293757618171244,0.026906647114888198,-0.0076128894967169544,0.17160715818214,0.1,5,not_applicable
4009,synthetic_num_small,persistent,1/10,MAE,0.017302894747954555,0.025003961435369552,-0.0077010666874149972,0.1892720433743338,0.1,5,not_applicable
4010,synthetic_num_small,persistent,1/10,MAE,0.017943589049326923,0.026706159130206040,-0.0087625700808791163,0.18177877266626163,0.1,5,not_applicable
4011,synthetic_num_small,persistent,1/10,MAE,0.017785392744355461,0.025664725308530846,-0.0078793325641753855,0.21198826190149211,0.1,5,not_applicable
4012,synthetic_num_small,persistent,1/10,MAE,0.017789842038339000,0.025322132182937266,-0.0075322901445982661,0.18961222785277332,0.1,5,not_applicable
4013,synthetic_num_small,persistent,1/10,MAE,0.018308274665040493,0.026455416626507307,-0.0081471419614668136,0.21696624350352872,0.1,5,not_applicable
4014,synthetic_num_small,persistent,1/10,MAE,0.018749052212102338,0.025711348401666767,-0.0069622961895644289,0.1814307756844422,0.1,5,not_applicable
4015,synthetic_num_small,persistent,1/10,MAE,0.019294824343133233,0.027294354553197899,-0.0079995302100646654,0.18511911323677677,0.1,5,not_applicable
4016,synthetic_num_small,persistent,1/10,MAE,0.018402644069465457,0.025564788316863517,-0.0071621442473980603,0.1681340356420511,0.1,5,not_applicable
4017,synthetic_num_small,persistent,1/10,MAE,0.018920538104812326,0.026739079641714842,-0.0078185415369025166,0.14278463373752592,0.1,5,not_applicable
4018,synthetic_num_small,persistent,1/10,MAE,0.018480125252861584,0.025809035471822106,-0.0073289102189605217,0.1470054962500723,0.1,5,not_applicable
4019,synthetic_num_small,persistent,1/10,MAE,0.018325799884219281,0.025710017270666481,-0.0073842173864472002,0.1534349263136876,0.1,5,not_applicable
4020,synthetic_num_small,persistent,1/10,MAE,0.018500684230333963,0.026073461131338941,-0.0075727769010049783,0.16930133126758073,0.1,5,not_applicable
4001,synthetic_num_small,persistent,3/10,MAE,0.058055991023887503,0.076215898197224254,-0.018159907173336751,0.1947580021541987,0.3,5,not_applicable
4002,synthetic_num_small,persistent,3/10,MAE,0.061301168877806041,0.076788254044890533,-0.015487085167084492,0.14811607041665265,0.3,5,not_applicable
4003,synthetic_num_small,persistent,3/10,MAE,0.060400038058670805,0.074830934324472083,-0.014430896265801279,0.14732443755054103,0.3,5,not_applicable
4004,synthetic_num_small,persistent,3/10,MAE,0.059203589583803515,0.074303836304186885,-0.015100246720383369,0.1353214629449747,0.3,5,not_applicable
4005,synthetic_num_small,persistent,3/10,MAE,0.060788345345204744,0.077355342848235243,-0.016566997503030499,0.13788269262759134,0.3,5,not_applicable
4006,synthetic_num_small,persistent,3/10,MAE,0.057879787989880472,0.074392862283564550,-0.016513074293684078,0.17853426539245376,0.3,5,not_applicable
4007,synthetic_num_small,persistent,3/10,MAE,0.055882581664233386,0.070471178383769177,-0.014588596719535792,0.14992804346864286,0.3,5,not_applicable
4008,synthetic_num_small,persistent,3/10,MAE,0.059473549432540493,0.075295570055363633,-0.015822020622823141,0.17218370384585346,0.3,5,not_applicable
4009,synthetic_num_small,persistent,3/10,MAE,0.055748621549799782,0.072142645384910641,-0.016394023835110859,0.19838605964475725,0.3,5,not_applicable
4010,synthetic_num_small,persistent,3/10,MAE,0.058358011127679408,0.077506052102976690,-0.019148040975297282,0.1864492179790035,0.3,5,not_applicable
4011,synthetic_num_small,persistent,3/10,MAE,0.058012370999844335,0.075872314501389257,-0.017859943501544921,0.21324652105672642,0.3,5,not_applicable
4012,synthetic_num_small,persistent,3/10,MAE,0.059021689121685850,0.075075480454523257,-0.016053791332837407,0.1856381457906925,0.3,5,not_applicable
4013,synthetic_num_small,persistent,3/10,MAE,0.058500688740844875,0.076050893559407888,-0.017550204818563013,0.21546840184035504,0.3,5,not_applicable
4014,synthetic_num_small,persistent,3/10,MAE,0.057436110808638280,0.071745526793659853,-0.014309415985021573,0.17114233192633754,0.3,5,not_applicable
4015,synthetic_num_small,persistent,3/10,MAE,0.060586943073586979,0.076589078705883106,-0.016002135632296127,0.1805115225657994,0.3,5,not_applicable
4016,synthetic_num_small,persistent,3/10,MAE,0.056163348279072777,0.072030838035852848,-0.015867489756780072,0.17335064418325885,0.3,5,not_applicable
4017,synthetic_num_small,persistent,3/10,MAE,0.059935643532330455,0.075450236755293277,-0.015514593222962822,0.13475761327425595,0.3,5,not_applicable
4018,synthetic_num_small,persistent,3/10,MAE,0.058746487524426723,0.073587441230247021,-0.014840953705820298,0.1488891518706411,0.3,5,not_applicable
4019,synthetic_num_small,persistent,3/10,MAE,0.060356608085750927,0.075490186664303871,-0.015133578578552944,0.1500756696437563,0.3,5,not_applicable
4020,synthetic_num_small,persistent,3/10,MAE,0.058593089680148899,0.074583654177203788,-0.015990564497054889,0.1746466292347285,0.3,5,not_applicable
4001,synthetic_num_small,persistent,1/2,MAE,0.11301339417376110,0.12549364566311330,-0.012480251489352200,0.18947757337259707,0.5,5,not_applicable
4002,synthetic_num_small,persistent,1/2,MAE,0.12016776898727451,0.12856470759656525,-0.0083969386092907392,0.15121195147026156,0.5,5,not_applicable
4003,synthetic_num_small,persistent,1/2,MAE,0.11828817904326088,0.12599933610016302,-0.0077111570569021462,0.1461515576025495,0.5,5,not_applicable
4004,synthetic_num_small,persistent,1/2,MAE,0.11445124319163680,0.12320367257748233,-0.0087524293858455229,0.13807532325539218,0.5,5,not_applicable
4005,synthetic_num_small,persistent,1/2,MAE,0.11847284234233096,0.12847119240401565,-0.0099983500616846938,0.13805407036808914,0.5,5,not_applicable
4006,synthetic_num_small,persistent,1/2,MAE,0.11165791200123801,0.12307960685490624,-0.011421694853668233,0.18026723187431126,0.5,5,not_applicable
4007,synthetic_num_small,persistent,1/2,MAE,0.10808863881775751,0.11745608643066084,-0.0093674476129033349,0.14472739091571307,0.5,5,not_applicable
4008,synthetic_num_small,persistent,1/2,MAE,0.11455675207867094,0.12446502947241167,-0.0099082773937407338,0.17474134958159548,0.5,5,not_applicable
4009,synthetic_num_small,persistent,1/2,MAE,0.10829081543493329,0.11944927929538124,-0.011158463860447951,0.19459280835824944,0.5,5,not_applicable
4010,synthetic_num_small,persistent,1/2,MAE,0.11654209116854893,0.13028847853502358,-0.013746387366474649,0.18702438973979807,0.5,5,not_applicable
4011,synthetic_num_small,persistent,1/2,MAE,0.11307634627726348,0.12482870727282914,-0.011752360995565666,0.21214759785932114,0.5,5,not_applicable
4012,synthetic_num_small,persistent,1/2,MAE,0.11474816077607501,0.12443003276590796,-0.0096818719898329411,0.18583801413511936,0.5,5,not_applicable
4013,synthetic_num_small,persistent,1/2,MAE,0.11527962042053986,0.12699580661373528,-0.011716186193195420,0.21651854633605128,0.5,5,not_applicable
4014,synthetic_num_small,persistent,1/2,MAE,0.10954608190953355,0.11838948909727466,-0.0088434071877411062,0.16901869954858106,0.5,5,not_applicable
4015,synthetic_num_small,persistent,1/2,MAE,0.11799058056317873,0.12744555870251905,-0.0094549781393403215,0.1810549615835405,0.5,5,not_applicable
4016,synthetic_num_small,persistent,1/2,MAE,0.10742073809299741,0.11845826384630497,-0.011037525753307561,0.1694824606057097,0.5,5,not_applicable
4017,synthetic_num_small,persistent,1/2,MAE,0.11564449773286560,0.12477423525392071,-0.0091297375210551072,0.13589377286123505,0.5,5,not_applicable
4018,synthetic_num_small,persistent,1/2,MAE,0.11370694503719463,0.12238133683770306,-0.0086743918005084303,0.15149802446655702,0.5,5,not_applicable
4019,synthetic_num_small,persistent,1/2,MAE,0.11707132952814982,0.12529695949849278,-0.0082256299703429547,0.15355799035601192,0.5,5,not_applicable
4020,synthetic_num_small,persistent,1/2,MAE,0.11489049784343449,0.12441853651999926,-0.0095280386765647749,0.16349889693049102,0.5,5,not_applicable
4001,synthetic_num_small,persistent,7/10,MAE,0.17514773414341604,0.17514019832020911,0.0000075358232069326245,0.1914662166228096,0.7,5,not_applicable
4002,synthetic_num_small,persistent,7/10,MAE,0.18290222901490214,0.17928038023799040,0.0036218487769117375,0.15079173581183003,0.7,5,not_applicable
4003,synthetic_num_small,persistent,7/10,MAE,0.17888529473911390,0.17535285823444812,0.0035324365046657824,0.14635088643136873,0.7,5,not_applicable
4004,synthetic_num_small,persistent,7/10,MAE,0.17467418909323567,0.17221654935848323,0.0024576397347524380,0.13636913655392913,0.7,5,not_applicable
4005,synthetic_num_small,persistent,7/10,MAE,0.18264597740907455,0.18021392789406468,0.0024320495150098715,0.13848888756383315,0.7,5,not_applicable
4006,synthetic_num_small,persistent,7/10,MAE,0.17272615209168925,0.17308015585148005,-0.00035400375979079963,0.1802938685420552,0.7,5,not_applicable
4007,synthetic_num_small,persistent,7/10,MAE,0.16478934191400036,0.16422004941124571,0.00056929250275464862,0.1516636347349345,0.7,5,not_applicable
4008,synthetic_num_small,persistent,7/10,MAE,0.17572079706046239,0.17349696498037835,0.0022238320800840383,0.1715867069357523,0.7,5,not_applicable
4009,synthetic_num_small,persistent,7/10,MAE,0.16654436676124052,0.16690629803633383,-0.00036193127509330701,0.19643630549636842,0.7,5,not_applicable
4010,synthetic_num_small,persistent,7/10,MAE,0.18084934072054709,0.18132440859351478,-0.00047506787296768965,0.18907298719515087,0.7,5,not_applicable
4011,synthetic_num_small,persistent,7/10,MAE,0.17578738605659257,0.17506424328871792,0.00072314276787464259,0.21200447151045176,0.7,5,not_applicable
4012,synthetic_num_small,persistent,7/10,MAE,0.17642940819405686,0.17434180817907915,0.0020876000149777136,0.18415703141336448,0.7,5,not_applicable
4013,synthetic_num_small,persistent,7/10,MAE,0.17937943643308509,0.17850942095345322,0.00087001547963187675,0.21671157302436866,0.7,5,not_applicable
4014,synthetic_num_small,persistent,7/10,MAE,0.16642483286874714,0.16490399037986713,0.0015208424888800131,0.17086262343163694,0.7,5,not_applicable
4015,synthetic_num_small,persistent,7/10,MAE,0.17988180765062078,0.17739162224430608,0.0024901854063146937,0.18327203141930726,0.7,5,not_applicable
4016,synthetic_num_small,persistent,7/10,MAE,0.16652474599721172,0.16685097243296829,-0.00032622643575657342,0.1687900276898585,0.7,5,not_applicable
4017,synthetic_num_small,persistent,7/10,MAE,0.17578279870209955,0.17342629293872162,0.0023565057633779323,0.1338095338495231,0.7,5,not_applicable
