family,attack,rho,endpoint,n,lir_pptd_mean_loss,mean_vote_mean_loss,mean_delta_lir_minus_mean,mean_final_reputation_gap,mean_effective_attacked_report_fraction
synthetic_num_small,persistent,0,MAE,20,0.009029163692637723,0.009028539751133893,6.2394150383083e-07,,0.0
synthetic_num_small,persistent,1/10,MAE,20,0.018417398069008203,0.026056505969593947,-0.007639107900585745,0.1693755488329849,0.1
synthetic_num_small,persistent,3/10,MAE,20,0.058722233224991816,0.07478891124036789,-0.01606667801537608,0.16983052937056103,0.3
synthetic_num_small,persistent,1/2,MAE,20,0.11414522177103227,0.1241944980669205,-0.010049276295888225,0.16914163056105874,0.5
synthetic_num_small,persistent,7/10,MAE,20,0.17511996721602618,0.1735766251364633,0.001543342079562889,0.17001230767351347,0.7
synthetic_num_small,persistent,9/10,MAE,20,0.22652122528303856,0.22296840667994625,0.0035528186030922893,0.16923308322204678,0.9
synthetic_num_small,random,0,MAE,20,0.009029163692637723,0.009028539751133893,6.2394150383083e-07,,0.0
synthetic_num_small,random,1/10,MAE,20,0.014975060573240948,0.02195275130922122,-0.006977690735980275,0.1904009404717121,0.1
synthetic_num_small,random,3/10,MAE,20,0.03098065437767471,0.046161094936161766,-0.015180440558487055,0.19509358766390816,0.3
synthetic_num_small,random,1/2,MAE,20,0.05250946715934988,0.07076711031497197,-0.018257643155622092,0.19326898767390435,0.5
synthetic_num_small,random,7/10,MAE,20,0.07977270337747018,0.09497084006749396,-0.015198136690023775,0.1915750547200587,0.7
synthetic_num_small,random,9/10,MAE,20,0.11423942142668699,0.1200388312758492,-0.005799409849162221,0.19364509855664272,0.9
synthetic_num_small,on_off,0,MAE,20,0.009029163692637723,0.009028539751133893,6.2394150383083e-07,,0.0
synthetic_num_small,on_off,1/10,MAE,20,0.014303693820755126,0.01770459295149607,-0.0034008991307409447,0.0812235600476386,0.05
synthetic_num_small,on_off,3/10,MAE,20,0.03603237411154472,0.042437186547707145,-0.006404812436162428,0.08260960511048689,0.15
synthetic_num_small,on_off,1/2,MAE,20,0.06504495912154938,0.06744943953695556,-0.002404480415406183,0.082084744201934,0.25
synthetic_num_small,on_off,7/10,MAE,20,0.09537792030708545,0.09246463191179627,0.0029132883952891755,0.0827209521516539,0.35
synthetic_num_small,on_off,9/10,MAE,20,0.12001070933456177,0.1175000624223011,0.00251064691226067,0.08188266714188927,0.45
synthetic_num_shifted,persistent,0,MAE,20,0.00892502567181184,0.008924040886173969,9.84785637871205e-07,,0.0
synthetic_num_shifted,persistent,1/10,MAE,20,0.01889880607502604,0.030739524009591315,-0.011840717934565271,0.21783710010563373,0.1
synthetic_num_shifted,persistent,3/10,MAE,20,0.06339873527041193,0.08973068971458957,-0.026331954444177647,0.21665561561562494,0.3
synthetic_num_shifted,persistent,1/2,MAE,20,0.1312655332473299,0.1490019544639305,-0.017736421216600576,0.2176389987172055,0.5
synthetic_num_shifted,persistent,7/10,MAE,20,0.2113268458754017,0.20852779427816012,0.0027990515972416,0.21745684032013984,0.7
synthetic_num_shifted,persistent,9/10,MAE,20,0.273747784363278,0.2680867307443646,0.005661053618913421,0.2165850619510882,0.9
synthetic_num_shifted,random,0,MAE,20,0.00892502567181184,0.008924040886173969,9.84785637871205e-07,,0.0
synthetic_num_shifted,random,1/10,MAE,20,0.015179561519703056,0.023287433336028614,-0.008107871816325558,0.19744494140148905,0.1
synthetic_num_shifted,random,3/10,MAE,20,0.034345199070856335,0.052801908938353515,-0.018456709867497183,0.20141660889138807,0.3
synthetic_num_shifted,random,1/2,MAE,20,0.059877610502838324,0.0818790278932117,-0.022001417390373385,0.20163925341833033,0.5
synthetic_num_shifted,random,7/10,MAE,20,0.09361809647564491,0.11175569550851004,-0.018137599032865142,0.20222862661433005,0.7
synthetic_num_shifted,random,9/10,MAE,20,0.13462195761294107,0.1413014271869125,-0.00667946957397144,0.2024493817641903,0.9
synthetic_num_shifted,on_off,0,MAE,20,0.00892502567181184,0.008924040886173969,9.84785637871205e-07,,0.0
synthetic_num_shifted,on_off,1/10,MAE,20,0.014715696682092012,0.019987454086234212,-0.005271757404142199,0.10842344733466755,0.05
synthetic_num_shifted,on_off,3/10,MAE,20,0.03905833845818798,0.04960576082501362,-0.01054742236682564,0.10814286356608964,0.15
synthetic_num_shifted,on_off,1/2,MAE,20,0.07502682488381537,0.07941411485843365,-0.004387289974618289,0.10859206301816758,0.25
synthetic_num_shifted,on_off,7/10,MAE,20,0.11403951656933176,0.10923294194772407,0.004806574621607687,0.10891250856380785,0.35
synthetic_num_shifted,on_off,9/10,MAE,20,0.14306492603226814,0.13917947015546048,0.0038854558768076776,0.10824279687609564,0.45
synthetic_num_longitudinal,persistent,0,MAE,20,0.008965528337804556,0.008966794763048791,-1.26642524423584e-06,,0.0
synthetic_num_longitudinal,persistent,1/10,MAE,20,0.018603562176148024,0.03658709603472187,-0.017983533858573847,0.2850141739692782,0.1
synthetic_num_longitudinal,persistent,3/10,MAE,20,0.06291345502500667,0.10682602395205748,-0.0439125689270508,0.2842505755582904,0.3
synthetic_num_longitudinal,persistent,1/2,MAE,20,0.1409299889584261,0.17755633626545522,-0.03662634730702912,0.2841467175643162,0.5
synthetic_num_longitudinal,persistent,7/10,MAE,20,0.25331359039211804,0.24833786264149604,0.004975727750621986,0.28444087249725314,0.7
synthetic_num_longitudinal,persistent,9/10,MAE,20,0.32826716306897785,0.3191757448357235,0.009091418233254423,0.28481147921245875,0.9
synthetic_num_longitudinal,random,0,MAE,20,0.008965528337804556,0.008966794763048791,-1.26642524423584e-06,,0.0
synthetic_num_longitudinal,random,1/10,MAE,20,0.01583631852350993,0.025583957969317624,-0.009747639445807695,0.22239468179373176,0.1
synthetic_num_longitudinal,random,3/10,MAE,20,0.03715204728124659,0.060079550809162205,-0.022927503527915616,0.22881047678197317,0.3
synthetic_num_longitudinal,random,1/2,MAE,20,0.06813721634158267,0.09613402142038852,-0.027996805078805857,0.22308596340682207,0.5
synthetic_num_longitudinal,random,7/10,MAE,20,0.10913113060346155,0.13144916726563705,-0.022318036662175494,0.22381431535914267,0.7
synthetic_num_longitudinal,random,9/10,MAE,20,0.1589313598232282,0.16650563935939036,-0.007574279536162161,0.22359319233883054,0.9
synthetic_num_longitudinal,on_off,0,MAE,20,0.008965528337804556,0.008966794763048791,-1.26642524423584e-06,,0.0
synthetic_num_longitudinal,on_off,1/10,MAE,20,0.014755065002828057,0.02271934839948312,-0.007964283396655064,0.14676570669786596,0.05
synthetic_num_longitudinal,on_off,3/10,MAE,20,0.04012272218504009,0.05780548961268652,-0.017682767427646438,0.14681163909965214,0.15
synthetic_num_longitudinal,on_off,1/2,MAE,20,0.08436424194278122,0.09307432387933885,-0.00871008193655764,0.14658846742736406,0.25
synthetic_num_longitudinal,on_off,7/10,MAE,20,0.13670871801675163,0.12835614920009375,0.008352568816657885,0.146535395406478,0.35
