family,attack,rho,n,mean_final_honest_minus_malicious_gap,min_gap,max_gap,positive_gap_seeds,zero_gap_seeds,negative_gap_seeds
synthetic_num_small,persistent,1/10,20,0.1693755488329849,0.13369367524120135,0.21696624350352872,20,0,0
synthetic_num_small,persistent,3/10,20,0.16983052937056103,0.13475761327425595,0.21546840184035504,20,0,0
synthetic_num_small,persistent,1/2,20,0.16914163056105874,0.13589377286123505,0.21651854633605128,20,0,0
synthetic_num_small,persistent,7/10,20,0.17001230767351347,0.1338095338495231,0.21671157302436866,20,0,0
synthetic_num_small,persistent,9/10,20,0.16923308322204678,0.132708020810409,0.21981928893996927,20,0,0
synthetic_num_small,random,1/10,20,0.1904009404717121,0.15413337971618069,0.22607911017212,20,0,0
synthetic_num_small,random,3/10,20,0.19509358766390816,0.17025458245728808,0.2200974072414673,20,0,0
synthetic_num_small,random,1/2,20,0.19326898767390435,0.1657012921540849,0.21542205301379336,20,0,0
synthetic_num_small,random,7/10,20,0.1915750547200587,0.17197137165465082,0.2101813102004207,20,0,0
synthetic_num_small,random,9/10,20,0.19364509855664272,0.1708467365280788,0.21604936279776155,20,0,0
synthetic_num_small,on_off,1/10,20,0.0812235600476386,-0.0023927300145223374,0.19073882723916868,17,0,3
synthetic_num_small,on_off,3/10,20,0.08260960511048689,-0.0015780690131477204,0.19838605964475725,16,0,4
synthetic_num_small,on_off,1/2,20,0.082084744201934,-0.0017117264772097407,0.19459280835824944,14,0,6
synthetic_num_small,on_off,7/10,20,0.0827209521516539,-0.0014743319557395385,0.19643630549636842,15,0,5
synthetic_num_small,on_off,9/10,20,0.08188266714188927,-0.0029466670342708223,0.1928850646628829,16,0,4
synthetic_num_shifted,persistent,1/10,20,0.21783710010563373,0.1723419376941212,0.2635368941615499,20,0,0
synthetic_num_shifted,persistent,3/10,20,0.21665561561562494,0.1730019144082381,0.2617999988605572,20,0,0
synthetic_num_shifted,persistent,1/2,20,0.2176389987172055,0.17365654409783382,0.26213686823872245,20,0,0
synthetic_num_shifted,persistent,7/10,20,0.21745684032013984,0.17659945120130438,0.2614425939802385,20,0,0
synthetic_num_shifted,persistent,9/10,20,0.2165850619510882,0.17119700831286533,0.2612082744185105,20,0,0
synthetic_num_shifted,random,1/10,20,0.19744494140148905,0.17477401737613818,0.2225381425902231,20,0,0
synthetic_num_shifted,random,3/10,20,0.20141660889138807,0.17576301389896254,0.21669097427822087,20,0,0
synthetic_num_shifted,random,1/2,20,0.20163925341833033,0.18906201341239048,0.21750882573135122,20,0,0
synthetic_num_shifted,random,7/10,20,0.20222862661433005,0.18655092490936787,0.2184962804314473,20,0,0
synthetic_num_shifted,random,9/10,20,0.2024493817641903,0.19013320332930028,0.21587786687250526,20,0,0
synthetic_num_shifted,on_off,1/10,20,0.10842344733466755,-0.0039046223888380416,0.2635368941615499,14,0,6
synthetic_num_shifted,on_off,3/10,20,0.10814286356608964,-0.0008996259032251208,0.2617999988605572,13,0,7
synthetic_num_shifted,on_off,1/2,20,0.10859206301816758,-0.00106112352085308,0.26213686823872245,17,0,3
synthetic_num_shifted,on_off,7/10,20,0.10891250856380785,-0.0024876277586651785,0.2614425939802385,14,0,6
synthetic_num_shifted,on_off,9/10,20,0.10824279687609564,-0.0020795498380974387,0.2612082744185105,16,0,4
synthetic_num_longitudinal,persistent,1/10,20,0.2850141739692782,0.23804376668806382,0.3282825532285155,20,0,0
synthetic_num_longitudinal,persistent,3/10,20,0.2842505755582904,0.23363078376185598,0.32526298497474887,20,0,0
synthetic_num_longitudinal,persistent,1/2,20,0.2841467175643162,0.23701282131340345,0.32478543391119,20,0,0
synthetic_num_longitudinal,persistent,7/10,20,0.28444087249725314,0.2365092401821577,0.3253872415052403,20,0,0
synthetic_num_longitudinal,persistent,9/10,20,0.28481147921245875,0.23629451999097312,0.3282449526452129,20,0,0
synthetic_num_longitudinal,random,1/10,20,0.22239468179373176,0.17338392770615163,0.2728807467913761,20,0,0
synthetic_num_longitudinal,random,3/10,20,0.22881047678197317,0.18691286405825713,0.2591116446795823,20,0,0
