dataset,rho,comparator,selector_seed_n,between_selector_seed_variance_of_seed_means,mean_within_selector_seed_subset_variance,descriptive_between_seed_variance_share
dog,1/10,crh,20,8.05068385963179e-06,4.415676298036125e-05,0.15420566120204593
dog,1/10,pptd_liang,20,8.052563836797467e-06,4.511303272710378e-05,0.1514619294663394
dog,1/10,tqpp_liu,20,7.503962404240581e-06,5.567907913307507e-05,0.1187654506915241
dog,1/2,crh,20,0.00038633740122510853,0.0006143791536029461,0.3860607675182209
dog,1/2,pptd_liang,20,0.00038656380894494513,0.0006170585198360284,0.38516860163372
dog,1/2,tqpp_liu,20,0.0003835368522382075,0.0005310661698755694,0.41934789516855037
dog,3/10,crh,20,5.409344960371696e-05,0.00040917122061865047,0.11676575633913991
dog,3/10,pptd_liang,20,5.4195109348401616e-05,0.0004135692312670151,0.11585985643347571
dog,3/10,tqpp_liu,20,5.215766158930332e-05,0.00026401581057481597,0.16496533131732613
dog,7/10,crh,20,0.0004514504052556136,0.00044144759305745994,0.5056013185252132
dog,7/10,pptd_liang,20,0.00045270331959262433,0.0004415348646336574,0.5062446757228501
dog,7/10,tqpp_liu,20,0.00045120498571536434,0.00033812320046664157,0.5716316655279354
dog,9/10,crh,20,4.4237675523097993e-05,0.00016314662126389807,0.21331256130995496
dog,9/10,pptd_liang,20,4.4349293442705876e-05,0.00016171025850930424,0.21522561328792236
dog,9/10,tqpp_liu,20,4.4764975537603864e-05,9.9396687890194e-05,0.31051927726974393
duck,1/10,crh,20,0.0001786585909879385,0.0001247494179080107,0.5888394035412813
duck,1/10,pptd_liang,20,0.0001786585909879385,0.0001247494179080107,0.5888394035412813
duck,1/10,tqpp_liu,20,0.00016202153859038072,0.001729901366205141,0.085638552279112
duck,1/2,crh,20,0.003492220574431741,0.0022323410670656157,0.6100415705399395
duck,1/2,pptd_liang,20,0.003492220574431741,0.0022323410670656157,0.6100415705399395
duck,1/2,tqpp_liu,20,0.003503737404375531,0.03935891356870512,0.08174336689011627
duck,3/10,crh,20,0.0004298140250189292,0.000687318283060582,0.3847476452971204
duck,3/10,pptd_liang,20,0.0004298140250189292,0.000687318283060582,0.3847476452971204
duck,3/10,tqpp_liu,20,0.00041187936791125423,0.013604033901408416,0.02938655227075665
duck,7/10,crh,20,0.003036528986873606,0.0025241076993716897,0.5460757748091539
duck,7/10,pptd_liang,20,0.003036528986873606,0.0025241076993716897,0.5460757748091539
duck,7/10,tqpp_liu,20,0.003100830935574633,0.023671693195941042,0.11582138913545488
duck,9/10,crh,20,0.00032308501426333013,0.00023816779869416556,0.5756497015326276
duck,9/10,pptd_liang,20,0.00032308501426333013,0.00023816779869416556,0.5756497015326276
duck,9/10,tqpp_liu,20,0.0003896251270643959,0.005529715160602007,0.06582239035593591
product,1/10,crh,20,2.468837417707121e-05,0.0003433122163798838,0.06708786564637378
product,1/10,pptd_liang,20,2.468837417707121e-05,0.0003433122163798838,0.06708786564637378
product,1/10,tqpp_liu,20,2.4683334009889975e-05,0.00035005002202663174,0.0658690602591682
product,1/2,crh,20,3.613300176565542e-05,0.0003059575942760444,0.10562407205502637
product,1/2,pptd_liang,20,3.613300176565542e-05,0.0003059575942760444,0.10562407205502637
product,1/2,tqpp_liu,20,3.614439161326554e-05,0.00030901494160401647,0.10471799002610835
product,3/10,crh,20,4.352620213985106e-05,0.0006895435172646522,0.05937525584225308
product,3/10,pptd_liang,20,4.352620213985106e-05,0.0006895435172646522,0.05937525584225308
product,3/10,tqpp_liu,20,4.3526448277005464e-05,0.000690518434454525,0.059296712368642486
product,7/10,crh,20,4.244144091928325e-05,0.00025503000462550934,0.14267399965585106
product,7/10,pptd_liang,20,4.244144091928325e-05,0.00025503000462550934,0.14267399965585106
product,7/10,tqpp_liu,20,4.244904959253913e-05,0.0002561049599096596,0.1421821454125422
product,9/10,crh,20,5.2797268567152854e-05,0.00019721555833517452,0.21117823921801893
product,9/10,pptd_liang,20,5.2797268567152854e-05,0.00019721555833517452,0.21117823921801893
product,9/10,tqpp_liu,20,5.284226954493918e-05,0.00019694970269377724,0.21154510720000194
weather,1/10,crh,20,1.0909104974622053e-07,6.274803091291187e-06,0.01708848037516061
weather,1/10,pptd_liang,20,1.048085352718499e-07,3.6247647939975504e-06,0.028102017581829185
weather,1/10,tqpp_liu,20,1.0814262190270177e-07,0.0005332438322199187,0.00020276032902057615
weather,1/2,crh,20,8.013578441795142e-06,9.867344909239562e-05,0.07511296009467479
weather,1/2,pptd_liang,20,8.15670772322108e-06,3.7330067522746756e-05,0.17932042179543445
weather,1/2,tqpp_liu,20,1.0126771503511588e-05,0.0008573840145637082,0.011673366678724968
weather,3/10,crh,20,2.1040709195345243e-06,4.779543344608123e-05,0.04216616870816809
weather,3/10,pptd_liang,20,1.9841712111796615e-06,3.851756045281489e-05,0.04898978709454936
weather,3/10,tqpp_liu,20,2.3044156044436998e-06,0.0009576114274650008,0.0024006433700219576
weather,7/10,crh,20,9.405090245647715e-06,1.0128235523690366e-05,0.48148944817226697
weather,7/10,pptd_liang,20,9.702243450902898e-06,6.115651543933646e-06,0.613371340122691
weather,7/10,tqpp_liu,20,1.2495783670858532e-05,0.0006189372850173767,0.019789561697834072
weather,9/10,crh,20,2.19855319493211e-06,1.769173116384299e-05,0.1105340253198624
weather,9/10,pptd_liang,20,2.1989630364030604e-06,1.6987577114735638e-05,0.11460967006459237
weather,9/10,tqpp_liu,20,3.1357020770404747e-06,4.554203388512074e-05,0.06441758259829417
