dataset,selector_seed_index,calibration_count,calibration_mask_sha256
weather,4,85,ce91ece58cbeddd132a1b2eceb2a2419d670c1285b96ca0c4402d5872567527a
weather,5,84,3b4ac5630dfdcd77bc6e736698e80d1fc4b486e1ca08b460eac1f4bd1ee97b5d
weather,6,82,6011b009e6f90039c0d57e22a175bcee829c6c5c4b647f76ee065e680f100ab9
weather,7,76,10e6e2262b929233fcf6f132847db0df605563fbab065dedf8751df3498f4351
weather,8,114,9524c0842ab48c0bdda1f131102323aaf4f8fc6f0c8a72eafe7670d344d799b9
weather,9,74,ed2343feb6768f1110098c60079d3e3bd61f589fa28959c691e908f59b8eea44
weather,10,85,d45a84527445ab680da9e03c792f552e8eb833d181fe22508ac327f0fab8010e
weather,11,92,2d8c307eb0f46144979c10513508bdb251ec7649fcc78c8eaadcfa01b9790b70
weather,12,85,d262f48a3f6fec27867c4c882744ac18c645c40abec5aec85950bbbca989d714
weather,13,97,3d9718aac9bf4b70094721bf7e45f581d1a60b6f4ea6a4130ca73ba8543844b2
weather,14,73,8e58cea748d8dd23ee95af48b0c6d6925965e0191cd62e0de51e44325a3e732b
weather,15,85,d6028e95473c06f57e3546a8274679c10c629e8468b2aa9d801621a81ab6ee40
weather,16,98,91ed2e3c15e22399c32e817c490776d8c2504286ab63e9b097ebc71b5fd97397
weather,17,101,1c8f3d1f945ff78669e955ac7352f83074b252d2b6aab72235a802668d412bf2
weather,18,85,67da569baf4ecf5d4183eaa3b485f02fd4bbe0722b839d9fd9614f55f3dc0ba6
weather,19,85,5d104694dab7d0e2c760d85cf204a8ef43c140fd9c71210be455658bd8c9e9bb
weather,20,79,0f5e7f57eedc299e3885e85193e21d5c272a422a144939f6a4cc420c73ec4dab
