m,n,calibration_tail_mean_ms,ci95_low_ms,ci95_high_ms,high_level_calls_per_event,amortized_calls_per_task_P10,amortized_time_ms_per_task_P10,amortized_calls_per_task_P20,amortized_time_ms_per_task_P20,amortized_calls_per_task_P40,amortized_time_ms_per_task_P40
20,30,1.3686866666666668,1.3426633333333333,1.3976433333333333,120,12.0,0.1368686666666667,6.0,0.06843433333333335,3.0,0.034217166666666674
50,30,5.32111,4.705276666666666,5.946153333333333,300,30.0,0.532111,15.0,0.2660555,7.5,0.13302775
100,30,9.251506666666666,8.108556666666665,10.452113333333333,600,60.0,0.9251506666666666,30.0,0.4625753333333333,15.0,0.23128766666666664
200,30,19.735496666666666,17.39832666666667,22.153763333333334,1200,120.0,1.9735496666666665,60.0,0.9867748333333333,30.0,0.49338741666666663
