m,n_pairs,lir_mean_ms,fog_mean_ms,fog_minus_lir_mean_ms,delta_ci95_low_ms,delta_ci95_high_ms,lir_wins,fog_wins,ties,runtime_reduction_percent,raw_sign_p,holm_p
20,30,11.173123333333333,13.469106666666669,2.2959833333333335,2.0381766666666667,2.5818633333333336,30,0,0,17.046292602429467,1.862645149230957e-09,7.450580596923828e-09
50,30,41.843606666666666,50.34250333333333,8.498896666666667,7.054389999999999,10.028783333333331,30,0,0,16.88214948389204,1.862645149230957e-09,7.450580596923828e-09
100,30,80.25313,91.84652,11.59339,6.622470000000002,15.972483333333336,28,2,0,12.622568606845414,8.67992639541626e-07,8.67992639541626e-07
200,30,160.33054333333337,194.95873333333333,34.62819,23.112196666666673,46.09957333333334,29,1,0,17.76180497684808,5.774199962615967e-08,1.1548399925231934e-07
