dataset,rho,sweep,value,is_default,n,mean_loss_delta_vs_default,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,interpretation,inference_policy
weather,3/10,K,30,False,20,-1.258010212905e-08,-1.549073743376e-08,-9.6809507374225e-09,8900985202344386524,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,1/20,False,20,-0.0256005369780871,-0.0268641481756176,-0.0242876006412783,18027248429515835444,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,1/10,False,20,-0.0154485732137138,-0.0162014509091214,-0.0146570683249543,11176802547367163067,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,15522232322379334227,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,2/5,False,20,0.0165739921064249,0.0159224406703074,0.0172111500884258,13797111374569871778,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,lambda_tau,4/5,False,20,0.0291153337948782,0.0279837583016,0.0302620078927588,12058689302282735705,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,kappa,1,False,20,0.0093277325474291,0.0089357059828532,0.0096966419761304,13772709217801139984,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,kappa,2,True,20,0.0,0.0,0.0,17897451874230529366,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,kappa,4,False,20,-0.0086389827714392,-0.0090352226392031,-0.0082106158629768,1676201211963378169,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,calibration_period,10,False,20,-0.0030304372048155,-0.0031724396960981,-0.0028813682475463,3348922879278983704,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,calibration_period,20,True,20,0.0,0.0,0.0,17734722004392296797,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,3/10,calibration_period,40,False,20,0.0027810759865922,0.0025270633008599,0.0030235060098623,3103728304964199710,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,1,False,20,9.42489505998435e-05,-0.0003993408089896,0.0005737279435344,7590173615700076967,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,3,False,20,2.403989766818e-06,-5.028584424608568e-05,5.662897574120205e-05,18007417542849753614,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,5,False,20,-1.0899092366105e-06,-8.705793086712924e-06,6.521995304256111e-06,5490920993311579432,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,10,True,20,0.0,0.0,0.0,1635788358056824805,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,20,False,20,7.88194546925e-08,-2.6008017032425e-08,1.964441579415e-07,9297709905876313023,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,K,30,False,20,7.8916079163e-08,-2.7514786024425e-08,1.98839492158075e-07,14648169892871845878,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,1/20,False,20,-0.0708931161204435,-0.0745306676129587,-0.0668448037412329,764770227770056725,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,1/10,False,20,-0.032050631270623,-0.0341536798422211,-0.0299167619283399,2859370274695672092,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,1923491015748196766,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,2/5,False,20,0.0192413570093548,0.0177491100862358,0.0207347500720161,8772344831418785346,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,lambda_tau,4/5,False,20,0.0303529186787564,0.0280887347904462,0.0327110823700297,8025440001722241569,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,kappa,1,False,20,0.0184709883559617,0.017865910505323,0.0190570695918985,14039060886869703995,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,kappa,2,True,20,0.0,0.0,0.0,4109576507792786748,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,kappa,4,False,20,-0.0215616555845949,-0.0222662334243288,-0.0208537016150075,1626171938410742689,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,calibration_period,10,False,20,-0.0090341808076589,-0.0093017848136233,-0.0087824520137212,566667178134731137,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,calibration_period,20,True,20,0.0,0.0,0.0,14507084377937003050,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
weather,7/10,calibration_period,40,False,20,0.0074333145842418,0.007226165139565,0.0076321163640235,16939358612919751912,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
